pos,abbreviation,num possible traits,trait 1,trait 2,trait 3,trait 4,trait 5,trait 6,trait 7
Adjective,A,5,word_case,number,gender,type,extra,,
Adverb,ADV,1,type,,,,,,
Aramaism,ARAM,0,,,,,,,
Article,T,3,word_case,number,gender,,,,
Conditional particle or conjunction,COND,1,kai-incrasis,,,,,,
Conjunction,CONJ,1,type,,,,,,
Correlative Pronoun,Q,3,word_case,number,gender,,,,
Demonstrative Pronoun,D,4,word_case,number,gender,kai-incrasis,,,
Hebraism,HEB,0,,,,,,,
Indefinite Pronoun,X,3,word_case,number,gender,,,,
Interrogative Pronoun,I,3,word_case,number,gender,,,,
Noun,N,2,description,indeclinable,,,,,
Noun,N,4,word_case,number,gender,type,,,
Particle,PRT,1,type,,,,,,
Personal Pronoun,P,3,word_case,number,gender,,,,
Personal Pronoun,P,4,person,word_case,gender,kai-incrasis,,,
Possessive Pronoun,S,5,person,number,word_case,number,gender,,
Preposition,PREP,0,,,,,,,
Reciprocal Pronoun,C,3,word_case,number,gender,,,,
Reflexive Pronoun,F,3,word_case,number,gender,,,,
Reflexive Pronoun,F,3,person,word_case,gender,,,,
Relative Pronoun,R,4,person,word_case,gender,extra,,,
Verb,V,4,tense,voice,mood,extra,,,
Verb,V,6,tense,voice,mood,person,number,extra,
Verb,V,7,tense,voice,mood,word_case,number,gender,extra
