(8194, '10ανακυψασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8197, '11η', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8182, '1και', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8183, '2ορθρου', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8184, '3αγουσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8185, '4ειπον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8181, '53και', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8187, '5εν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8188, '6τουτο', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8189, '7ωσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8191, '8και', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8192, '9οι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(18229, 'ackmuwγδθ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8776, 'rαββουνι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9447, 'rεφαν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(18224, 'suvω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(18234, 'zωησ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(18219, 'ƒ', 12, 'N/A', 'N/A', 'N/A', 'N/A')
(1813, 'α', 139, 'N/A', 'N/A', 'N/A', 'N/A')
(5376, 'ααρων', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(17726, 'αβαδδων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13886, 'αβαρη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5139, 'αββα', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(17725, 'αββαδων', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(3435, 'αβελ', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(47, 'αβια', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(4274, 'αβιαθαρ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5718, 'αβιληνησ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(74, 'αβιουδ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(10, 'αβρααμ', 77, 'N/A', 'N/A', 'N/A', 'N/A')
(6279, 'αβυσσον', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(17693, 'αβυσσου', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(9827, 'αγαβοσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8303, 'αγαγειν', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(3072, 'αγαγετε', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(9594, 'αγαγη', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(15784, 'αγαγοντα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9244, 'αγαγοντεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5073, 'αγαγωσιν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(1174, 'αγαθα', 11, 'N/A', 'N/A', 'N/A', 'N/A')
(15647, 'αγαθασ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(2919, 'αγαθε', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(6231, 'αγαθη', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(6217, 'αγαθην', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(15070, 'αγαθησ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(15373, 'αγαθοεργειν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14235, 'αγαθοισ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(1219, 'αγαθον', 40, 'N/A', 'N/A', 'N/A', 'N/A')
(6062, 'αγαθοποιειτε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4279, 'αγαθοποιησαι', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(6051, 'αγαθοποιητε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16978, 'αγαθοποιια', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6052, 'αγαθοποιουντασ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(16856, 'αγαθοποιουντεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16885, 'αγαθοποιουσαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10077, 'αγαθοποιων', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(2060, 'αγαθοσ', 12, 'N/A', 'N/A', 'N/A', 'N/A')
(2061, 'αγαθου', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(10078, 'αγαθουργων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(925, 'αγαθουσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(12326, 'αγαθω', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(5506, 'αγαθων', 10, 'N/A', 'N/A', 'N/A', 'N/A')
(14213, 'αγαθωσυνη', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(12467, 'αγαθωσυνησ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8014, 'αγαλλιαθηναι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5479, 'αγαλλιασει', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(15747, 'αγαλλιασεωσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(714, 'αγαλλιασθε', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(5402, 'αγαλλιασισ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(18091, 'αγαλλιωμεθα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(18092, 'αγαλλιωμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16964, 'αγαλλιωμενοι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12850, 'αγαμοισ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12861, 'αγαμοσ', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(4937, 'αγανακτειν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13704, 'αγανακτησιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5110, 'αγανακτουντεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6730, 'αγανακτων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6120, 'αγαπα', 12, 'N/A', 'N/A', 'N/A', 'N/A')
(17364, 'αγαπαισ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5033, 'αγαπαν', 10, 'N/A', 'N/A', 'N/A', 'N/A')
(8819, 'αγαπασ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(911, 'αγαπατε', 15, 'N/A', 'N/A', 'N/A', 'N/A')
(14461, 'αγαπατω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3484, 'αγαπη', 66, 'N/A', 'N/A', 'N/A', 'N/A')
(8536, 'αγαπηθησεται', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6547, 'αγαπην', 33, 'N/A', 'N/A', 'N/A', 'N/A')
(12089, 'αγαπησ', 20, 'N/A', 'N/A', 'N/A', 'N/A')
(17399, 'αγαπησαντι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12096, 'αγαπησαντοσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8461, 'αγαπησασ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(16798, 'αγαπησατε', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(1053, 'αγαπησει', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(907, 'αγαπησεισ', 10, 'N/A', 'N/A', 'N/A', 'N/A')
(929, 'αγαπησητε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8537, 'αγαπησω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
