book,chapter,verse,word_index,matched_word_index,word_order,secondary_word_order,word,unicode,std_poly_form,str_num,lemma,def,root_1,root_2,root_3,str_num_alt_2,str_num_alt_3
JOH,7,53,1,1.0,1,1,*KAI\,Καὶ,καί,2532.0,καί,"and, also, both, but, even, for, if, or, so, that, then, therefore, when, yet",,,,,
JOH,7,53,2,,2,1,A)PH=LQEN,ἀπῆλθεν,ἀπῆλθεν,565.0,ἀπέρχομαι,"come, depart, go (aside, away, back, out, ... ways), pass away, be past",ἀπό,ἔρχομαι,,,
JOH,7,53,3,3.0,3,1,E(/KASTOS,ἕκαστος,ἕκαστος,1538.0,ἕκαστος,"any, both, each (one), every (man, one, woman), particularly",,,,,
JOH,7,53,4,4.0,4,1,EI)S,εἰς,εἰς,1519.0,εἰς,"(abundant-)ly, against, among, as, at, (back-)ward, before, by, concerning, + continual, + far more exceeding, for (intent, purpose), fore, + forth, in (among, at, unto, -so much that, -to), to the intent that, + of one mind, + never, of, (up-)on, + perish, + set at one again, (so) that, therefore(-unto), throughout, til, to (be, the end, -ward), (here-)until(-to), ...ward, (where-)fore, with",,,,,
JOH,7,53,5,5.0,5,1,TO\N,τὸν,τόν,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,7,53,6,6.0,6,1,OI)=KON,οἶκον,οἶκον,3624.0,οἶκος,"home, house(-hold), temple",,,,,
JOH,7,53,7,7.0,7,1,AU)TOU=,αὐτοῦ,αὐτοῦ,846.0,αὐτός,"her, it(-self), one, the other, (mine) own, said, (self-), the) same, ((him-, my-, thy- )self, (your-)selves, she, that, their(-s), them(-selves), there(-at, - by, -in, -into, -of, -on, -with), they, (these) things, this (man), those, together, very, which",,,,847.0,
JOH,8,1,1,,-1,1,KAI\,καὶ,καί,2532.0,καί,"and, also, both, but, even, for, if, or, so, that, then, therefore, when, yet",,,,,
JOH,8,1,2,,-1,2,O(,ὁ,ὁ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,1,3,1.0,1,1,*)IHSOU=S,Ἰησοῦς,ἰησοῦς,2424.0,Ἰησοῦς,Jesus,יְהוֹשׁוַּע,,,,
JOH,8,1,4,3.0,3,1,E)POREU/QH,ἐπορεύθη,ἐπορεύθη,4198.0,πορεύομαι,"depart, go (away, forth, one's way, up), (make a, take a) journey, walk",πεῖρα,,,,
JOH,8,1,5,4.0,4,1,EI)S,εἰς,εἰς,1519.0,εἰς,"(abundant-)ly, against, among, as, at, (back-)ward, before, by, concerning, + continual, + far more exceeding, for (intent, purpose), fore, + forth, in (among, at, unto, -so much that, -to), to the intent that, + of one mind, + never, of, (up-)on, + perish, + set at one again, (so) that, therefore(-unto), throughout, til, to (be, the end, -ward), (here-)until(-to), ...ward, (where-)fore, with",,,,,
JOH,8,1,6,5.0,5,1,TO\,τὸ,τό,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,1,7,6.0,6,1,O)/ROS,ὄρος,ὄρος,3735.0,ὄρος,"hill, mount(-ain)",,,,,
JOH,8,1,8,7.0,7,1,TW=N,τῶν,τῶν,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,1,9,8.0,8,1,*)ELAIW=N,Ἐλαιῶν,ἐλαιῶν,1636.0,ἐλαῖα,"olive (berry, tree)",,,,,
JOH,8,2,1,1.0,1,1,*)/ORQROU,Ὄρθρου,ὄρθρου,3722.0,ὄρθρος,early in the morning,,,,,
JOH,8,2,2,2.0,2,1,DE\,δὲ,δέ,1161.0,δέ,"also, and, but, moreover, now",,,,,
JOH,8,2,3,3.0,3,1,PA/LIN,πάλιν,πάλιν,3825.0,πάλιν,again,βάλλω,,,,
JOH,8,2,4,,4,1,H)=LQEN,ἦλθεν,ἦλθεν,2064.0,ἔρχομαι,"accompany, appear, bring, come, enter, fall out, go, grow, X light, X next, pass, resort, be set",,,,,
JOH,8,2,5,10.0,10,1,O(,ὁ,ὁ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,2,6,,11,1,*)IHSOU=S,Ἰησοῦς,ἰησοῦς,2424.0,Ἰησοῦς,Jesus,יְהוֹשׁוַּע,,,,
JOH,8,2,7,,12,1,EI)S,εἰς,εἰς,1519.0,εἰς,"(abundant-)ly, against, among, as, at, (back-)ward, before, by, concerning, + continual, + far more exceeding, for (intent, purpose), fore, + forth, in (among, at, unto, -so much that, -to), to the intent that, + of one mind, + never, of, (up-)on, + perish, + set at one again, (so) that, therefore(-unto), throughout, til, to (be, the end, -ward), (here-)until(-to), ...ward, (where-)fore, with",,,,,
JOH,8,2,8,,12,2,TO\,τὸ,τό,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,2,9,,12,3,I(ERO/N,ἱερόν,ἱερόν,2411.0,ἱερόν,temple,ἱερός,,,,
JOH,8,2,10,13.0,13,1,KAI\,καὶ,καί,2532.0,καί,"and, also, both, but, even, for, if, or, so, that, then, therefore, when, yet",,,,,
JOH,8,2,11,,13,2,PA=S,πᾶς,πᾶς,3956.0,πᾶς,"all (manner of, means), alway(-s), any (one), X daily, + ever, every (one, way), as many as, + no(-thing), X thoroughly, whatsoever, whole, whosoever",,,,,
JOH,8,2,12,,13,3,O(,ὁ,ὁ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,2,13,,13,4,LAO\S,λαὸς,λαός,2992.0,λαός,people,,,,,
JOH,8,2,14,,13,5,H)/RXETO,ἤρχετο,ἤρχετο,2064.0,ἔρχομαι,"accompany, appear, bring, come, enter, fall out, go, grow, X light, X next, pass, resort, be set",,,,,
