books,distinct_rp_str_num_count,,ranking,books,distinct_rp_str_num_count,,,distinct_rp_str_nums,MAT,MAR,LUK,JOH,ACT,ROM,1CO,2CO,GAL,EPH,PHP,COL,1TH,2TH,1TI,2TI,TIT,PHM,HEB,JAM,1PE,2PE,1JO,2JO,3JO,JUD,REV,,<- columns stacked,,str_nums in J to AJ counts in AL,MAT,MAR,LUK,JOH,ACT,ROM,1CO,2CO,GAL,EPH,PHP,COL,1TH,2TH,1TI,2TI,TIT,PHM,HEB,JAM,1PE,2PE,1JO,2JO,3JO,JUD,REV,,exclusive_str_num,MAT,MAR,LUK,JOH,ACT,ROM,1CO,2CO,GAL,EPH,PHP,COL,1TH,2TH,1TI,2TI,TIT,PHM,HEB,JAM,1PE,2PE,1JO,2JO,3JO,JUD,REV,,,books,exclusive_rp_str_num_count,,ranking,books,exclusive_rp_str_num_count,,exclusive_str_def,MAT,MAR,LUK,JOH,ACT,ROM,1CO,2CO,GAL,EPH,PHP,COL,1TH,2TH,1TI,2TI,TIT,PHM,HEB,JAM,1PE,2PE,1JO,2JO,3JO,JUD,REV,,nouns,rp_def,rp_str_num_count,,most_common,nouns,rp_def,rp_str_num_count,,books,rp_sbl_matches,,ranking,books,rp_sbl_matches
MAT,1691,,,LUK,2049,,,,976,746,1895,1722,3588,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,4181,2385,4074,4826,3739,3588,3588,2455,602,,976,,.,6,18,1,27,27,15,15,15,15,15,15,15,15,15,15,15,15,15,1,8,8,4,27,27,27,6,9,,,2196,2284,1895,3323,5039,4279,5514,1820,2454,2820,144,2857,1837,5232,2085,3125,893,5371,4181,574,313,2472,31,2959,5383,1864,1,,,MAT,143,,,ACT,550,,.,Zara,"amaze, astonish",forasmuch,Messias,infallible proof,promise before,Chloe,(in) despair,Jews' religion,obtain an inheritance,judgment,Colosse,sound forth,grow exceedingly,teach other doctrine(-wise),grandmother,that cannot lie,Philemon,at sundry times,liberally,"beget, (bear) X (again)",like precious,message,lady,love to have the preeminence,earnestly contend for,Alpha,,976,book,10,,1,3588,"the, this, that, one, he, she, it, etc",20849,,MAT,17139,,,LUK,17751
MAR,1358,,,ACT,2018,,,,1078,3588,4183,746,3303,1401,2822,652,652,652,2532,652,2532,2532,652,652,1401,1198,2532,2316,652,4074,1510,4245,4245,2424,2424,,746,,.,2,27,25,18,19,21,6,21,21,21,27,21,27,27,21,21,21,7,27,27,21,8,27,13,13,26,26,,,2283,1773,392,3482,3700,4837,4734,610,4915,4276,55,4257,362,1730,562,3090,1930,682,4187,1503,263,1862,2434,5489,1361,3921,5598,,,MAR,87,,,LUK,328,,.,Thamar,before day,set in order,Nathanail,"appear, look, see, shew self",comfort together,Stephanas,sentence,equal,first trust,sincerely,hear before,wait for,manifest token,endless,Lois,,Apphia,in divers manners,be like,that fadeth not away,promise,propitiation,paper,Diotrephes,creep in unawares,Omega,,1078,"generation, nature(-ral)",3,,2,2532,"and, also, both, but, even, for, if, or, so, that, then, therefore, when, yet",9548,,MAR,9841,,,MAT,17139
LUK,2049,,,MAT,1691,,,,2424,2098,2021,1510,4413,2424,652,2424,3756,2424,5095,2424,4610,4610,2424,2424,2316,5547,4187,2532,2424,1401,575,1588,1050,5547,5547,,1895,,.,26,17,2,27,15,26,21,26,26,26,12,26,4,4,26,26,27,26,1,27,26,21,27,11,4,26,26,,,4477,2614,1335,2580,4871,2529,3472,4943,3967,3174,4839,699,4310,5099,3150,2131,3711,890,541,416,412,668,5545,,1926,1608,3963,,,LUK,328,,,HEB,154,,.,Rachab,follow after,declaration,Cana,assemble together,clearly see,foolishness,help together,of fathers,greatness,continue with,pleasing,suffer before,be punished with,vain jangling,Eunice,,unprofitable,brightness,drive with the wind,unspeakable,escape,"anointing, unction",0,receive,give self over to fornication,Patmos,,2424,Jesus,1028,,3,846,"her, it(-self), one, the other, (mine) own, said, (self-), the) same, ((him-, my-, thy- )self, (your-)selves, she, that, their(-s), them(-selves), there(-at, - by, -in, -into, -of, -on, -with), they, (these) things, this (man), those, together, very, which",6051,,LUK,17751,,,ACT,16709
JOH,1032,,,MAR,1358,,,,5547,2424,392,3588,3056,5547,2424,5547,575,5547,1401,5547,5095,5095,5547,5547,652,2424,3819,2962,5547,2532,746,2959,27,1401,3739,,1722,,.,26,26,1,27,24,26,26,26,27,26,21,26,12,12,26,26,21,26,6,25,26,27,18,1,21,21,27,,,4503,2969,845,5201,4037,2305,4804,1644,4323,112,4866,1412,2850,1740,3964,329,5358,1595,5481,4494,1830,3923,3529,,5396,1164,4667,,,JOH,102,,,MAT,143,,.,Ruth,town,eye-witness,water-pot,wait for,godhead,disputer,lightness,"in conference add, confer",without God,"labour with, strive together for",strengthen,X flattering,glorify,murderer of fathers,stir up,,willingly,express image,toss,search diligently,give,victory,0,prate against,example,Smyrna,,5547,Christ,584,,4,4771,thou,3083,,JOH,14473,,,JOH,14473
ACT,2018,,,ROM,1059,,,,5207,5547,1335,3056,4160,2822,5547,1223,444,1223,2424,1223,3588,3588,2596,1223,1161,2532,3588,2424,1588,652,191,2532,3739,80,1325,,3588,,.,20,26,1,24,26,6,26,26,24,26,26,26,27,27,26,26,26,27,27,26,11,21,23,27,27,25,22,,,3774,3836,2183,3355,1638,379,36,2009,688,3320,4426,3707,5162,814,3389,1167,1468,661,2118,1374,4303,3467,,,,5254,4010,,,ACT,550,,,ROM,133,,.,Urias,from every quarter,course,firkin,Olivet,"without an excuse, inexcusable",base things,punishment,Arabia,middle wall,terrify,visible,nurse,disorderly,murderer of mothers,fear,,repay,righteousness,double minded,testify beforehand,cannot see far off,0,0,0,suffer,Pergamos,,5207,"child, foal, son",396,,5,1161,"also, and, but, moreover, now",3024,,ACT,16709,,,MAR,9841
ROM,1059,,,JOH,1032,,,,1138,5207,4012,2532,4012,652,1223,2307,3761,2307,5547,2307,1577,1577,2003,2307,2424,5095,2316,5547,3927,2424,3708,5043,1473,1161,846,,3972,,.,9,20,25,27,25,21,26,18,18,18,26,18,17,17,5,18,26,12,27,26,2,26,21,23,27,26,27,,,4497,4331,1665,501,5253,3154,3981,2585,2477,4847,3890,4409,2442,812,409,4995,3151,4359,3010,182,328,3024,,,,5447,4554,,,ROM,133,,,REV,122,,.,Roboam,come nigh,Elisabeth,draw (out),upper chamber (room),become vain,enticing,corrupt,see,fellow- citizen,comfort,have the preeminence,be affectionately desirous,behave self disorderly,manslayer,sound mind,,over besides,ministering,unstable,gird up,#NAME?,0,0,0,naturally,Sardis,,1138,David,60,,6,1722,"about, after, against, + almost, X altogether, among, X as, at, before, between, (here-)by (+ all means), for (... sake of), + give self wholly to, (here-)in(-to, -wardly), X mightily, (because) of, (up-)on, (open-)ly, X outwardly, one, X quickly, X shortly, (speedi-)ly, X that, X there(-in, -on), through(-out), (un-)to(-ward), under, when, where(-with), while, with(-in)",2894,,ROM,6788,,,REV,9142
1CO,954,,,HEB,1032,,,,11,2316,3588,4314,3956,873,2307,2316,1223,2316,3956,2316,2331,2331,2316,2316,5547,3588,2980,1401,1290,5547,3588,846,25,2385,3588,,3972,,.,11,27,27,26,27,6,18,27,26,27,27,27,3,3,27,27,26,27,23,21,3,26,27,27,21,8,27,,,760,648,2407,755,2650,3337,585,4956,3920,4883,4861,1517,3743,4020,405,4777,5423,3685,3901,2143,5049,5031,,,,2879,5359,,,1CO,96,,,JOH,102,,.,Asa,uncover,execute the priest's office,governor (ruler) of the feast,abide,change,demonstration,of commendation,unawares brought in,be fitly framed (joined) together,like-minded,make peace,holily,be a busybody,menstealer,be partaker of afflictions,,have joy,let slip,grace,to the end,"shortly, swift",0,0,0,Core,Philadelphia,,11,Abraham,76,,7,1473,"I, me",2782,,1CO,6349,,,ROM,6788
2CO,784,,,1CO,954,,,,1080,5613,4135,2316,5599,1519,2316,2532,235,3588,3588,2532,1722,1722,4990,2596,2596,80,3962,3588,4195,3588,3788,3739,1722,3588,2316,,3972,,.,12,26,3,27,8,27,27,27,27,27,27,27,27,27,11,26,26,25,26,27,2,27,14,27,27,27,27,,,2498,1976,1725,2773,2674,4573,1091,1449,2684,4925,2754,3334,274,2569,1965,5436,1993,,3405,3133,678,1539,,,,4694,4158,,,2CO,97,,,2CO,97,,.,Josaphat,sew on,before,changer of money,number with,worship,husbandry,write (in),spy out,build together,vain-glory,move away,"blameless, unblamably",well doing,perjured person,Phygellus,,0,recompence of reward,fade away,without respect of persons,always,0,0,0,spot (by confusion with G4696),garment down to the foot,,1080,"bear, beget, be born, bring forth, conceive, be delivered of, gender, make, spring",97,,8,1510,"am, have been, X it is I, was",2624,,2CO,4103,,,1CO,6349
GAL,522,,,REV,912,,,,3588,1125,1722,3778,2321,2098,2532,5095,2424,40,40,5095,2316,2316,1473,1860,4102,5371,1722,1427,1053,2472,1473,1473,225,1722,1166,,3972,,.,27,22,27,27,2,17,27,12,26,23,23,12,27,27,27,11,24,1,27,8,4,1,27,27,23,27,10,,,2496,8,2370,5416,4248,5540,753,4560,1502,4954,725,466,4853,4593,1376,2061,2451,,4901,551,3970,3420,,,,5352,5474,,,GAL,34,,,1CO,96,,.,Joram,Abiathar,burn incense,scourge,headlong,use,masterbuilder,fleshly,give place,of the same body,robbery,fill up,countryman,note,persecutor,Hermogenes,,0,also bear witness,not to be tempted,received by tradition from fathers,remembrance,0,0,0,whose fruit withereth,fine brass,,3588,"the, this, that, one, he, she, it, etc",20849,,9,3004,"ask, bid, boast, call, describe, give out, name, put forth, say(-ing, on), shew, speak, tell, utter",2368,,GAL,2098,,,HEB,4730
EPH,530,,,2CO,784,,,,2464,1722,1473,3956,3739,2316,4988,3588,5547,1510,1722,3588,3962,3962,2532,2222,1588,27,4396,5443,2587,1473,2300,25,4012,2316,1401,,3972,,.,8,27,27,27,27,27,2,27,26,27,27,27,26,26,27,22,11,21,15,8,2,27,7,21,25,27,21,,,3604,4818,4608,2772,2997,1572,2562,2426,4942,4830,5251,4086,642,,5250,3683,947,,3311,1828,1619,1811,,,,1890,3531,,,EPH,38,,,MAR,87,,.,Ozias,be grieved,strong drink,money,burst asunder,burn,stubble,sufficiency,dissemble with,partaker,highly exalt,enticing words,take,0,be exceeding abundant,Onespiphorus,,0,"dividing asunder, gift",draw away,fervently,follow,0,0,0,foam out,Nicolaitane,,2464,Isaac,20,,10,1519,"(abundant-)ly, against, among, as, at, (back-)ward, before, by, concerning, + continual, + far more exceeding, for (intent, purpose), fore, + forth, in (among, at, unto, -so much that, -to), to the intent that, + of one mind, + never, of, (up-)on, + perish, + set at one again, (so) that, therefore(-unto), throughout, til, to (be, the end, -ward), (here-)until(-to), ...ward, (where-)fore, with",1854,,EPH,2262,,,2CO,4103
