id,word,book,chapter,verse,word_index
1,Καὶ,JOH,7,53,0
2,ἀπῆλθεν,JOH,7,53,1
3,ἕκαστος,JOH,7,53,2
4,εἰς,JOH,7,53,3
5,τὸν,JOH,7,53,4
6,οἶκον,JOH,7,53,5
7,αὐτοῦ,JOH,7,53,6
8,καὶ,JOH,8,1,0
9,ὁ,JOH,8,1,1
10,Ἰησοῦς,JOH,8,1,2
11,ἐπορεύθη,JOH,8,1,3
12,εἰς,JOH,8,1,4
13,τὸ,JOH,8,1,5
14,ὄρος,JOH,8,1,6
15,τῶν,JOH,8,1,7
16,Ἐλαιῶν,JOH,8,1,8
17,Ὄρθρου,JOH,8,2,0
18,δὲ,JOH,8,2,1
19,πάλιν,JOH,8,2,2
20,ἦλθεν,JOH,8,2,3
21,ὁ,JOH,8,2,4
22,Ἰησοῦς,JOH,8,2,5
23,εἰς,JOH,8,2,6
24,τὸ,JOH,8,2,7
25,ἱερόν,JOH,8,2,8
26,καὶ,JOH,8,2,9
27,πᾶς,JOH,8,2,10
28,ὁ,JOH,8,2,11
29,λαὸς,JOH,8,2,12
30,ἤρχετο,JOH,8,2,13
31,πρὸς,JOH,8,2,14
32,αὐτόν,JOH,8,2,15
33,καὶ,JOH,8,2,16
34,καθίσας,JOH,8,2,17
35,ἐδίδασκεν,JOH,8,2,18
36,αὐτούς,JOH,8,2,19
37,Ἄγουσιν,JOH,8,3,0
38,δὲ,JOH,8,3,1
39,οἱ,JOH,8,3,2
40,γραμματεῖς,JOH,8,3,3
41,καὶ,JOH,8,3,4
42,οἱ,JOH,8,3,5
43,Φαρισαῖοι,JOH,8,3,6
44,γυναῖκα,JOH,8,3,7
45,ἐπὶ,JOH,8,3,8
46,μοιχείᾳ,JOH,8,3,9
47,κατειλημμένην,JOH,8,3,10
48,καὶ,JOH,8,3,11
49,στήσαντες,JOH,8,3,12
50,αὐτὴν,JOH,8,3,13
51,ἐν,JOH,8,3,14
52,τῷ,JOH,8,3,15
53,μέσῳ,JOH,8,3,16
54,εἶπον,JOH,8,4,0
55,αὐτῷ,JOH,8,4,1
56,Διδάσκαλε,JOH,8,4,2
57,ταύτην,JOH,8,4,3
58,εὕρομεν,JOH,8,4,4
59,ἐπ,JOH,8,4,5
60,μοιχευομένην,JOH,8,4,6
61,Ἐν,JOH,8,5,0
62,δὲ,JOH,8,5,1
63,τῷ,JOH,8,5,2
64,νόμῳ,JOH,8,5,3
65,ἡμῶν,JOH,8,5,4
66,ἐνετείλατο,JOH,8,5,5
67,τὰς,JOH,8,5,6
68,τοιαύτας,JOH,8,5,7
69,λιθάζειν,JOH,8,5,8
70,σὺ,JOH,8,5,9
71,οὖν,JOH,8,5,10
72,τί,JOH,8,5,11
73,λέγεις,JOH,8,5,12
74,Τοῦτο,JOH,8,6,0
