id,word,unicode,count,str_num,rp_code,rp_pos,rp_gender,rp_number,rp_word_case,rp_tense,rp_type,rp_voice,rp_mood,rp_person,rp_indeclinable,rp_why_indeclinable,rp_kai_crasis,rp_attic_greek_form
1,biblos,βιβλοσ,1,976,{N-NSF},Noun,Feminine,Singular,Nominative,,,,,,,,,
2,genesews,γενεσεωσ,3,1078,{N-GSF},Noun,Feminine,Singular,Genitive,,,,,,,,,
3,ihsou,ιησου,339,2424,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
4,xristou,χριστου,265,5547,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
5,uiou,υιου,37,5207,{N-GSM},Noun,Masculine,Singular,Genitive,,,,,,,,,
6,dauid,δαυιδ,59,1138,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
8,abraam,αβρααμ,73,11,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
10,egennhsen,εγεννησεν,42,1080,{V-AAI-3S},Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
11,ton,τον,1611,3588,{T-ASM},Article,Masculine,Singular,Accusative,,,,,,,,,
12,isaak,ισαακ,20,2464,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
14,de,δε,2841,1161,{CONJ},Conjunction,,,,,,,,,,,,
17,iakwb,ιακωβ,27,2384,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
22,ioudan,ιουδαν,8,2455,{N-ASM},Noun,Masculine,Singular,Accusative,,,,,,,,,
23,kai,και,9217,2532,{CONJ},Conjunction,,,,,,,,,,,,
24,tous,τουσ,734,3588,{T-APM},Article,Masculine,Plural,Accusative,,,,,,,,,
25,adelfous,αδελφουσ,38,80,{N-APM},Noun,Masculine,Plural,Accusative,,,,,,,,,
26,autou,αυτου,1478,846,{P-GSM},Personal Pronoun,Masculine,Singular,Genitive,,,,,,,,,
27,ioudas,ιουδασ,21,2455,{N-NSM},Noun,Masculine,Singular,Nominative,,,,,,,,,
31,fares,φαρεσ,3,5329,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
34,zara,ζαρα,1,2196,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
35,ek,εκ,670,1537,{PREP},Preposition,,,,,,,,,,,,
36,ths,τησ,1327,3588,{T-GSF},Article,Feminine,Singular,Genitive,,,,,,,,,
37,qamar,θαμαρ,1,2283,{N-PRI},Noun,,,,,,,,,Indeclinable,proper noun,,
