word,book,chapter,verse,word_index,disputed_betacode_alt
*BI/BLOS,MAT,1,1,0,
GENE/SEWS,MAT,1,1,1,
*)IHSOU=,MAT,1,1,2,
XRISTOU=,MAT,1,1,3,
UI(OU=,MAT,1,1,4,
*DAUI/D,MAT,1,1,5,
UI(OU=,MAT,1,1,6,
*)ABRAA/M,MAT,1,1,7,
*)ABRAA\M,MAT,1,2,0,
E)GE/NNHSEN,MAT,1,2,1,
TO\N,MAT,1,2,2,
*)ISAA/K,MAT,1,2,3,
*)ISAA\K,MAT,1,2,4,
DE\,MAT,1,2,5,
E)GE/NNHSEN,MAT,1,2,6,
TO\N,MAT,1,2,7,
*)IAKW/B,MAT,1,2,8,
*)IAKW\B,MAT,1,2,9,
DE\,MAT,1,2,10,
E)GE/NNHSEN,MAT,1,2,11,
TO\N,MAT,1,2,12,
*)IOU/DAN,MAT,1,2,13,
KAI\,MAT,1,2,14,
TOU\S,MAT,1,2,15,
A)DELFOU\S,MAT,1,2,16,
AU)TOU=,MAT,1,2,17,
*)IOU/DAS,MAT,1,3,0,
DE\,MAT,1,3,1,
E)GE/NNHSEN,MAT,1,3,2,
TO\N,MAT,1,3,3,
*FARE\S,MAT,1,3,4,
KAI\,MAT,1,3,5,
TO\N,MAT,1,3,6,
*ZARA\,MAT,1,3,7,
E)K,MAT,1,3,8,
TH=S,MAT,1,3,9,
*QA/MAR,MAT,1,3,10,
*FARE\S,MAT,1,3,11,
DE\,MAT,1,3,12,
E)GE/NNHSEN,MAT,1,3,13,
TO\N,MAT,1,3,14,
*(ESRW/M,MAT,1,3,15,
*(ESRW\M,MAT,1,3,16,
DE\,MAT,1,3,17,
E)GE/NNHSEN,MAT,1,3,18,
TO\N,MAT,1,3,19,
*)ARA/M,MAT,1,3,20,
*)ARA\M,MAT,1,4,0,
DE\,MAT,1,4,1,
E)GE/NNHSEN,MAT,1,4,2,
TO\N,MAT,1,4,3,
*)AMINADA/B,MAT,1,4,4,
*)AMINADA\B,MAT,1,4,5,
DE\,MAT,1,4,6,
E)GE/NNHSEN,MAT,1,4,7,
TO\N,MAT,1,4,8,
*NAASSW/N,MAT,1,4,9,
*NAASSW\N,MAT,1,4,10,
DE\,MAT,1,4,11,
E)GE/NNHSEN,MAT,1,4,12,
TO\N,MAT,1,4,13,
*SALMW/N,MAT,1,4,14,
*SALMW\N,MAT,1,5,0,
DE\,MAT,1,5,1,
E)GE/NNHSEN,MAT,1,5,2,
TO\N,MAT,1,5,3,
*BOO\Z,MAT,1,5,4,
E)K,MAT,1,5,5,
TH=S,MAT,1,5,6,
*(RAXA/B,MAT,1,5,7,
*BOO\Z,MAT,1,5,8,
DE\,MAT,1,5,9,
E)GE/NNHSEN,MAT,1,5,10,
TO\N,MAT,1,5,11,
*)WBH\D,MAT,1,5,12,
E)K,MAT,1,5,13,
TH=S,MAT,1,5,14,
*(ROU/Q,MAT,1,5,15,
*)WBH\D,MAT,1,5,16,
DE\,MAT,1,5,17,
E)GE/NNHSEN,MAT,1,5,18,
TO\N,MAT,1,5,19,
*)IESSAI/,MAT,1,5,20,
*)IESSAI\,MAT,1,6,0,
DE\,MAT,1,6,1,
E)GE/NNHSEN,MAT,1,6,2,
TO\N,MAT,1,6,3,
*DAUI\D,MAT,1,6,4,
TO\N,MAT,1,6,5,
BASILE/A,MAT,1,6,6,
*DAUI\D,MAT,1,6,7,
DE\,MAT,1,6,8,
O(,MAT,1,6,9,
BASILEU\S,MAT,1,6,10,
E)GE/NNHSEN,MAT,1,6,11,
TO\N,MAT,1,6,12,
*SOLOMW=NA,MAT,1,6,13,
E)K,MAT,1,6,14,
TH=S,MAT,1,6,15,
TOU=,MAT,1,6,16,
*OU)RI/OU,MAT,1,6,17,
*SOLOMW\N,MAT,1,7,0,
DE\,MAT,1,7,1,
E)GE/NNHSEN,MAT,1,7,2,
TO\N,MAT,1,7,3,
*(ROBOA/M,MAT,1,7,4,
*(ROBOA\M,MAT,1,7,5,
DE\,MAT,1,7,6,
E)GE/NNHSEN,MAT,1,7,7,
TO\N,MAT,1,7,8,
*)ABIA/,MAT,1,7,9,
*)ABIA\,MAT,1,7,10,
DE\,MAT,1,7,11,
E)GE/NNHSEN,MAT,1,7,12,
TO\N,MAT,1,7,13,
*)ASA/,MAT,1,7,14,
*)ASA\,MAT,1,8,0,
DE\,MAT,1,8,1,
E)GE/NNHSEN,MAT,1,8,2,
TO\N,MAT,1,8,3,
*)IWSAFA/T,MAT,1,8,4,
*)IWSAFA\T,MAT,1,8,5,
DE\,MAT,1,8,6,
E)GE/NNHSEN,MAT,1,8,7,
TO\N,MAT,1,8,8,
*)IWRA/M,MAT,1,8,9,
*)IWRA\M,MAT,1,8,10,
DE\,MAT,1,8,11,
E)GE/NNHSEN,MAT,1,8,12,
TO\N,MAT,1,8,13,
*)OZI/AN,MAT,1,8,14,
*)OZI/AS,MAT,1,9,0,
DE\,MAT,1,9,1,
E)GE/NNHSEN,MAT,1,9,2,
TO\N,MAT,1,9,3,
*)IWA/QAM,MAT,1,9,4,
*)IWA/QAM,MAT,1,9,5,
DE\,MAT,1,9,6,
E)GE/NNHSEN,MAT,1,9,7,
TO\N,MAT,1,9,8,
*)/AXAZ,MAT,1,9,9,
*)/AXAZ,MAT,1,9,10,
DE\,MAT,1,9,11,
E)GE/NNHSEN,MAT,1,9,12,
TO\N,MAT,1,9,13,
*(EZEKI/AN,MAT,1,9,14,
*(EZEKI/AS,MAT,1,10,0,
DE\,MAT,1,10,1,
E)GE/NNHSEN,MAT,1,10,2,
TO\N,MAT,1,10,3,
*MANASSH=,MAT,1,10,4,
*MANASSH=S,MAT,1,10,5,
DE\,MAT,1,10,6,
E)GE/NNHSEN,MAT,1,10,7,
TO\N,MAT,1,10,8,
*)AMW/N,MAT,1,10,9,
*)AMW\N,MAT,1,10,10,
DE\,MAT,1,10,11,
E)GE/NNHSEN,MAT,1,10,12,
TO\N,MAT,1,10,13,
*)IWSI/AN,MAT,1,10,14,
*)IWSI/AS,MAT,1,11,0,
DE\,MAT,1,11,1,
E)GE/NNHSEN,MAT,1,11,2,
TO\N,MAT,1,11,3,
*)IEXONI/AN,MAT,1,11,4,
KAI\,MAT,1,11,5,
TOU\S,MAT,1,11,6,
A)DELFOU\S,MAT,1,11,7,
AU)TOU=,MAT,1,11,8,
E)PI\,MAT,1,11,9,
TH=S,MAT,1,11,10,
METOIKESI/AS,MAT,1,11,11,
*BABULW=NOS,MAT,1,11,12,
*META\,MAT,1,12,0,
DE\,MAT,1,12,1,
TH\N,MAT,1,12,2,
METOIKESI/AN,MAT,1,12,3,
*BABULW=NOS,MAT,1,12,4,
*)IEXONI/AS,MAT,1,12,5,
E)GE/NNHSEN,MAT,1,12,6,
TO\N,MAT,1,12,7,
*SALAQIH/L,MAT,1,12,8,
*SALAQIH\L,MAT,1,12,9,
DE\,MAT,1,12,10,
E)GE/NNHSEN,MAT,1,12,11,
TO\N,MAT,1,12,12,
*ZOROBA/BEL,MAT,1,12,13,
*ZOROBA/BEL,MAT,1,13,0,
DE\,MAT,1,13,1,
E)GE/NNHSEN,MAT,1,13,2,
TO\N,MAT,1,13,3,
*)ABIOU/D,MAT,1,13,4,
*)ABIOU\D,MAT,1,13,5,
DE\,MAT,1,13,6,
E)GE/NNHSEN,MAT,1,13,7,
TO\N,MAT,1,13,8,
*)ELIAKEI/M,MAT,1,13,9,
*)ELIAKEI\M,MAT,1,13,10,
DE\,MAT,1,13,11,
E)GE/NNHSEN,MAT,1,13,12,
TO\N,MAT,1,13,13,
*)AZW/R,MAT,1,13,14,
*)AZW\R,MAT,1,14,0,
DE\,MAT,1,14,1,
E)GE/NNHSEN,MAT,1,14,2,
TO\N,MAT,1,14,3,
*SADW/K,MAT,1,14,4,
*SADW\K,MAT,1,14,5,
DE\,MAT,1,14,6,
E)GE/NNHSEN,MAT,1,14,7,
TO\N,MAT,1,14,8,
*)AXEI/M,MAT,1,14,9,
*)AXEI\M,MAT,1,14,10,
DE\,MAT,1,14,11,
E)GE/NNHSEN,MAT,1,14,12,
TO\N,MAT,1,14,13,
*)ELIOU/D,MAT,1,14,14,
*)ELIOU\D,MAT,1,15,0,
DE\,MAT,1,15,1,
E)GE/NNHSEN,MAT,1,15,2,
TO\N,MAT,1,15,3,
*)ELEA/ZAR,MAT,1,15,4,
*)ELEA/ZAR,MAT,1,15,5,
DE\,MAT,1,15,6,
E)GE/NNHSEN,MAT,1,15,7,
TO\N,MAT,1,15,8,
*MATQA/N,MAT,1,15,9,
*MATQA\N,MAT,1,15,10,
DE\,MAT,1,15,11,
E)GE/NNHSEN,MAT,1,15,12,
TO\N,MAT,1,15,13,
*)IAKW/B,MAT,1,15,14,
*)IAKW\B,MAT,1,16,0,
DE\,MAT,1,16,1,
E)GE/NNHSEN,MAT,1,16,2,
TO\N,MAT,1,16,3,
*)IWSH\F,MAT,1,16,4,
TO\N,MAT,1,16,5,
A)/NDRA,MAT,1,16,6,
*MARI/AS,MAT,1,16,7,
E)C,MAT,1,16,8,
H(=S,MAT,1,16,9,
E)GENNH/QH,MAT,1,16,10,
*)IHSOU=S,MAT,1,16,11,
O(,MAT,1,16,12,
LEGO/MENOS,MAT,1,16,13,
XRISTO/S,MAT,1,16,14,
*PA=SAI,MAT,1,17,0,
OU)=N,MAT,1,17,1,
AI(,MAT,1,17,2,
GENEAI\,MAT,1,17,3,
A)PO\,MAT,1,17,4,
*)ABRAA\M,MAT,1,17,5,
E(/WS,MAT,1,17,6,
*DAUI\D,MAT,1,17,7,
GENEAI\,MAT,1,17,8,
DEKATE/SSARES,MAT,1,17,9,
KAI\,MAT,1,17,10,
A)PO\,MAT,1,17,11,
*DAUI\D,MAT,1,17,12,
E(/WS,MAT,1,17,13,
TH=S,MAT,1,17,14,
METOIKESI/AS,MAT,1,17,15,
*BABULW=NOS,MAT,1,17,16,
GENEAI\,MAT,1,17,17,
DEKATE/SSARES,MAT,1,17,18,
KAI\,MAT,1,17,19,
A)PO\,MAT,1,17,20,
TH=S,MAT,1,17,21,
METOIKESI/AS,MAT,1,17,22,
*BABULW=NOS,MAT,1,17,23,
E(/WS,MAT,1,17,24,
TOU=,MAT,1,17,25,
XRISTOU=,MAT,1,17,26,
GENEAI\,MAT,1,17,27,
DEKATE/SSARES,MAT,1,17,28,
*TOU=,MAT,1,18,0,
DE\,MAT,1,18,1,
*)IHSOU=,MAT,1,18,2,
XRISTOU=,MAT,1,18,3,
H(,MAT,1,18,4,
GE/NNHSIS,MAT,1,18,5,
OU(/TWS,MAT,1,18,6,
H)=N,MAT,1,18,7,
MNHSTEUQEI/SHS,MAT,1,18,8,
GA\R,MAT,1,18,9,
TH=S,MAT,1,18,10,
MHTRO\S,MAT,1,18,11,
AU)TOU=,MAT,1,18,12,
*MARI/AS,MAT,1,18,13,
TW=|,MAT,1,18,14,
*)IWSH/F,MAT,1,18,15,
PRI\N,MAT,1,18,16,
H)\,MAT,1,18,17,
SUNELQEI=N,MAT,1,18,18,
AU)TOU/S,MAT,1,18,19,
EU(RE/QH,MAT,1,18,20,
E)N,MAT,1,18,21,
GASTRI\,MAT,1,18,22,
E)/XOUSA,MAT,1,18,23,
E)K,MAT,1,18,24,
PNEU/MATOS,MAT,1,18,25,
A(GI/OU,MAT,1,18,26,
*)IWSH\F,MAT,1,19,0,
DE\,MAT,1,19,1,
O(,MAT,1,19,2,
A)NH\R,MAT,1,19,3,
AU)TH=S,MAT,1,19,4,
DI/KAIOS,MAT,1,19,5,
W)/N,MAT,1,19,6,
KAI\,MAT,1,19,7,
MH\,MAT,1,19,8,
QE/LWN,MAT,1,19,9,
AU)TH\N,MAT,1,19,10,
PARADEIGMATI/SAI,MAT,1,19,11,
E)BOULH/QH,MAT,1,19,12,
LA/QRA|,MAT,1,19,13,
A)POLU=SAI,MAT,1,19,14,
AU)TH/N,MAT,1,19,15,
*TAU=TA,MAT,1,20,0,
DE\,MAT,1,20,1,
AU)TOU=,MAT,1,20,2,
E)NQUMHQE/NTOS,MAT,1,20,3,
I)DOU/,MAT,1,20,4,
A)/GGELOS,MAT,1,20,5,
KURI/OU,MAT,1,20,6,
KAT,MAT,1,20,7,
O)/NAR,MAT,1,20,8,
E)FA/NH,MAT,1,20,9,
AU)TW=|,MAT,1,20,10,
LE/GWN,MAT,1,20,11,
*)IWSH/F,MAT,1,20,12,
UI(O\S,MAT,1,20,13,
*DAUI/D,MAT,1,20,14,
MH\,MAT,1,20,15,
FOBHQH=|S,MAT,1,20,16,
PARALABEI=N,MAT,1,20,17,
*MARIA\M,MAT,1,20,18,
TH\N,MAT,1,20,19,
GUNAI=KA/,MAT,1,20,20,
SOU,MAT,1,20,21,
TO\,MAT,1,20,22,
GA\R,MAT,1,20,23,
E)N,MAT,1,20,24,
AU)TH=|,MAT,1,20,25,
GENNHQE\N,MAT,1,20,26,
E)K,MAT,1,20,27,
PNEU/MATO/S,MAT,1,20,28,
E)STIN,MAT,1,20,29,
A(GI/OU,MAT,1,20,30,
*TE/CETAI,MAT,1,21,0,
DE\,MAT,1,21,1,
UI(O/N,MAT,1,21,2,
KAI\,MAT,1,21,3,
KALE/SEIS,MAT,1,21,4,
TO\,MAT,1,21,5,
O)/NOMA,MAT,1,21,6,
AU)TOU=,MAT,1,21,7,
*)IHSOU=N,MAT,1,21,8,
AU)TO\S,MAT,1,21,9,
GA\R,MAT,1,21,10,
SW/SEI,MAT,1,21,11,
TO\N,MAT,1,21,12,
LAO\N,MAT,1,21,13,
AU)TOU=,MAT,1,21,14,
A)PO\,MAT,1,21,15,
TW=N,MAT,1,21,16,
A(MARTIW=N,MAT,1,21,17,
AU)TW=N,MAT,1,21,18,
*TOU=TO,MAT,1,22,0,
DE\,MAT,1,22,1,
O(/LON,MAT,1,22,2,
GE/GONEN,MAT,1,22,3,
I(/NA,MAT,1,22,4,
PLHRWQH=|,MAT,1,22,5,
TO\,MAT,1,22,6,
R(HQE\N,MAT,1,22,7,
U(PO\,MAT,1,22,8,
TOU=,MAT,1,22,9,
KURI/OU,MAT,1,22,10,
DIA\,MAT,1,22,11,
TOU=,MAT,1,22,12,
PROFH/TOU,MAT,1,22,13,
LE/GONTOS,MAT,1,22,14,
*)IDOU/,MAT,1,23,0,
H(,MAT,1,23,1,
PARQE/NOS,MAT,1,23,2,
E)N,MAT,1,23,3,
GASTRI\,MAT,1,23,4,
E(/CEI,MAT,1,23,5,
KAI\,MAT,1,23,6,
TE/CETAI,MAT,1,23,7,
UI(O/N,MAT,1,23,8,
KAI\,MAT,1,23,9,
KALE/SOUSIN,MAT,1,23,10,
TO\,MAT,1,23,11,
O)/NOMA,MAT,1,23,12,
AU)TOU=,MAT,1,23,13,
*)EMMANOUH/L,MAT,1,23,14,
O(/,MAT,1,23,15,
E)STIN,MAT,1,23,16,
MEQERMHNEUO/MENON,MAT,1,23,17,
*MEQ,MAT,1,23,18,
H(MW=N,MAT,1,23,19,
O(,MAT,1,23,20,
QEO/S,MAT,1,23,21,
*DIEGERQEI\S,MAT,1,24,0,
DE\,MAT,1,24,1,
O(,MAT,1,24,2,
*)IWSH\F,MAT,1,24,3,
A)PO\,MAT,1,24,4,
TOU=,MAT,1,24,5,
U(/PNOU,MAT,1,24,6,
E)POI/HSEN,MAT,1,24,7,
W(S,MAT,1,24,8,
PROSE/TACEN,MAT,1,24,9,
AU)TW=|,MAT,1,24,10,
O(,MAT,1,24,11,
A)/GGELOS,MAT,1,24,12,
KURI/OU,MAT,1,24,13,
KAI\,MAT,1,24,14,
PARE/LABEN,MAT,1,24,15,
TH\N,MAT,1,24,16,
GUNAI=KA,MAT,1,24,17,
AU)TOU=,MAT,1,24,18,
KAI\,MAT,1,25,0,
OU)K,MAT,1,25,1,
E)GI/NWSKEN,MAT,1,25,2,
AU)TH\N,MAT,1,25,3,
E(/WS,MAT,1,25,4,
OU(=,MAT,1,25,5,
E)/TEKEN,MAT,1,25,6,
TO\N,MAT,1,25,7,
UI(O\N,MAT,1,25,8,
AU)TH=S,MAT,1,25,9,
TO\N,MAT,1,25,10,
PRWTO/TOKON,MAT,1,25,11,
KAI\,MAT,1,25,12,
E)KA/LESEN,MAT,1,25,13,
TO\,MAT,1,25,14,
O)/NOMA,MAT,1,25,15,
AU)TOU=,MAT,1,25,16,
*)IHSOU=N,MAT,1,25,17,
*TOU=,MAT,2,1,0,
DE\,MAT,2,1,1,
*)IHSOU=,MAT,2,1,2,
GENNHQE/NTOS,MAT,2,1,3,
E)N,MAT,2,1,4,
*BHQLEE\M,MAT,2,1,5,
TH=S,MAT,2,1,6,
*)IOUDAI/AS,MAT,2,1,7,
E)N,MAT,2,1,8,
H(ME/RAIS,MAT,2,1,9,
*(HRW/|DOU,MAT,2,1,10,
TOU=,MAT,2,1,11,
BASILE/WS,MAT,2,1,12,
I)DOU/,MAT,2,1,13,
MA/GOI,MAT,2,1,14,
A)PO\,MAT,2,1,15,
A)NATOLW=N,MAT,2,1,16,
PAREGE/NONTO,MAT,2,1,17,
EI)S,MAT,2,1,18,
*(IEROSO/LUMA,MAT,2,1,19,
LE/GONTES,MAT,2,2,0,
