id,word,count,str_num,rp_code,rp_pos,rp_gender,rp_number,rp_word_case,rp_tense,rp_type,rp_voice,rp_mood,rp_person,rp_indeclinable,rp_description,rp_kai_incrasis,rp_extra
1,βιβλος,1,976,N-NSF,Noun,Feminine,Singular,Nominative,,,,,,,,,
2,γενεσεως,3,1078,N-GSF,Noun,Feminine,Singular,Genitive,,,,,,,,,
3,ιησου,339,2424,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
4,χριστου,265,5547,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
5,υιου,37,5207,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
6,δαυιδ,59,1138,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
8,αβρααμ,73,11,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
10,εγεννησεν,42,1080,V-AAI-3S,Verb,,Singular,,Aorist,,Active,Indicative,Third person,,,,
11,τον,1611,3588,T-ASM,Article,Masculine,Singular,Accusative,,,,,,,,,
12,ισαακ,20,2464,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
14,δε,2841,1161,CONJ,Conjunction,,,,,,,,,,,,
17,ιακωβ,27,2384,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
22,ιουδαν,8,2455,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
23,και,9217,2532,CONJ,Conjunction,,,,,,,,,,,,
24,τους,734,3588,T-APM,Article,Masculine,Plural,Accusative,,,,,,,,,
25,αδελφους,38,80,N-APM,Noun,Masculine,Plural,Accusative,,,,,,,,,
26,αυτου,1478,846,P-GSM,Personal Pronoun,Masculine,Singular,Genitive,,,,,,,,,
27,ιουδας,21,2455,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
31,φαρες,3,5329,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
34,ζαρα,1,2196,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
35,εκ,670,1537,PREP,Preposition,,,,,,,,,,,,
36,της,1327,3588,T-GSF,Article,Feminine,Singular,Genitive,,,,,,,,,
37,θαμαρ,1,2283,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
42,εσρωμ,3,2074,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
47,αραμ,3,689,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
52,αμιναδαβ,3,284,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
57,ναασσων,3,3476,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
62,σαλμων,3,4533,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
67,βοοζ,3,1003,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
70,ραχαβ,1,4477,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
75,ωβηδ,3,5601,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
78,ρουθ,1,4503,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
83,ιεσσαι,5,2421,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
90,βασιλεα,15,935,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
93,ο,3308,3588,T-NSM,Article,Masculine,Singular,Nominative,,,,,,,,,
94,βασιλευς,51,935,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
97,σολομωνα,1,4672,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
100,του,2587,3588,T-GSM,Article,Masculine,Singular,Genitive,,,,,,,,,
101,ουριου,1,3774,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
102,σολομων,4,4672,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
106,ροβοαμ,2,4497,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
111,αβια,3,7,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
116,ασα,2,760,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
121,ιωσαφατ,2,2498,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
126,ιωραμ,2,2496,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
131,οζιαν,1,3604,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
132,οζιας,1,3604,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
136,ιωαθαμ,2,2488,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
141,αχαζ,2,881,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
146,εζεκιαν,1,1478,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
147,εζεκιας,1,1478,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
151,μανασση,2,3128,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
152,μανασσης,1,3128,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
156,αμων,2,300,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
161,ιωσιαν,1,2502,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
162,ιωσιας,1,2502,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
166,ιεχονιαν,1,2423,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
171,επι,676,1909,PREP,Preposition,,,,,,,,,,,,
173,μετοικεσιας,3,3350,N-GSF,Noun,Feminine,Singular,Genitive,,,,,,,,,
174,βαβυλωνος,5,897,N-GSF,Noun,Feminine,Singular,Genitive,,,,,,,,,
175,μετα,294,3326,PREP,Preposition,,,,,,,,,,,,
177,την,1554,3588,T-ASF,Article,Feminine,Singular,Accusative,,,,,,,,,
178,μετοικεσιαν,1,3350,N-ASF,Noun,Feminine,Singular,Accusative,,,,,,,,,
180,ιεχονιας,1,2423,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
183,σαλαθιηλ,3,4528,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
188,ζοροβαβελ,3,2216,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
193,αβιουδ,2,10,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
198,ελιακειμ,3,1662,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
203,αζωρ,2,107,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
208,σαδωκ,2,4524,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
213,αχειμ,2,885,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
218,ελιουδ,2,1664,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
223,ελεαζαρ,2,1648,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
