id,pericope_id,word_order,secondary_word_order,matched_word_index
1,1,1,1,1.0
2,2,2,1,
3,3,3,1,3.0
4,4,4,1,4.0
5,5,5,1,5.0
6,6,6,1,6.0
7,7,7,1,7.0
8,8,-1,1,
9,9,-1,2,
10,10,1,1,1.0
11,11,3,1,3.0
12,12,4,1,4.0
13,13,5,1,5.0
14,14,6,1,6.0
15,15,7,1,7.0
16,16,8,1,8.0
17,17,1,1,1.0
18,18,2,1,2.0
19,19,3,1,3.0
20,20,4,1,
21,21,10,1,10.0
22,22,11,1,
23,23,12,1,
24,24,12,2,
25,25,12,3,
26,26,13,1,13.0
27,27,13,2,
28,28,13,3,
29,29,13,4,
30,30,13,5,
31,31,13,6,
32,32,13,7,
33,33,13,8,
34,34,14,1,14.0
35,35,15,1,15.0
36,36,16,1,16.0
37,37,1,1,1.0
38,38,2,1,2.0
39,39,3,1,3.0
40,40,4,1,4.0
41,41,5,1,5.0
42,42,6,1,6.0
43,43,7,1,7.0
44,44,10,1,10.0
45,45,11,1,
46,46,12,1,12.0
47,47,13,1,
48,48,14,1,14.0
49,49,15,1,15.0
50,50,16,1,16.0
51,51,17,1,17.0
52,52,17,2,
53,53,18,1,18.0
54,54,-1,1,
55,55,2,1,2.0
56,56,4,1,4.0
57,57,5,1,
58,58,6,1,
59,59,9,1,9.0
60,60,10,1,
61,61,1,1,1.0
62,62,2,1,2.0
63,63,3,1,3.0
64,64,4,1,4.0
65,65,5,1,
66,66,7,1,7.0
67,67,8,1,8.0
68,68,9,1,9.0
69,69,10,1,
70,70,11,1,11.0
71,71,12,1,12.0
72,72,13,1,13.0
73,73,14,1,14.0
74,74,1,1,1.0
75,75,2,1,2.0
76,76,3,1,3.0
77,77,4,1,4.0
78,78,5,1,5.0
79,79,6,1,6.0
80,80,7,1,7.0
81,81,8,1,
82,82,8,2,
83,83,9,1,9.0
84,84,10,1,10.0
85,85,11,1,11.0
86,86,12,1,12.0
87,87,13,1,13.0
88,88,14,1,14.0
89,89,15,1,15.0
90,90,16,1,16.0
91,91,17,1,17.0
92,92,18,1,18.0
93,93,19,1,19.0
94,94,20,1,20.0
95,95,1,1,1.0
96,96,2,1,2.0
97,97,3,1,3.0
98,98,4,1,
99,99,5,1,5.0
100,100,6,1,
101,101,7,1,7.0
102,102,8,1,
103,103,10,1,10.0
104,104,11,1,11.0
105,105,12,1,12.0
106,106,13,1,
107,107,17,1,17.0
108,108,18,1,18.0
109,109,19,1,
110,110,20,1,
111,111,1,1,1.0
112,112,2,1,2.0
113,113,3,1,3.0
114,114,4,1,4.0
115,115,5,1,5.0
116,116,6,1,6.0
117,117,7,1,7.0
118,118,8,1,8.0
119,119,1,1,1.0
120,120,2,1,2.0
121,121,3,1,3.0
122,122,10,1,10.0
123,123,11,1,11.0
124,124,12,1,12.0
125,125,13,1,13.0
126,126,14,1,14.0
127,127,15,1,15.0
128,128,16,1,16.0
129,129,16,2,
130,130,16,3,
131,131,16,4,
132,132,17,1,17.0
133,133,18,1,18.0
134,134,22,1,22.0
135,135,23,1,23.0
136,136,24,1,24.0
137,137,25,1,25.0
138,138,26,1,26.0
139,139,27,1,27.0
140,140,1,1,1.0
141,141,2,1,2.0
142,142,3,1,3.0
143,143,4,1,4.0
144,144,4,2,
145,145,4,3,
146,146,5,1,5.0
147,147,11,1,11.0
148,148,12,1,
149,149,13,1,13.0
150,150,19,1,19.0
151,151,20,1,20.0
152,152,21,1,21.0
153,153,1,1,1.0
154,154,2,1,2.0
155,155,3,1,3.0
156,156,4,1,4.0
157,157,5,1,5.0
158,158,6,1,6.0
159,159,7,1,7.0
160,160,7,2,
161,161,8,1,8.0
162,162,9,1,9.0
163,163,10,1,10.0
164,164,11,1,11.0
165,165,12,1,12.0
166,166,13,1,
167,167,14,1,14.0
168,168,16,1,16.0
169,169,17,1,17.0
170,170,1,1,1.0
171,171,2,1,2.0
172,172,3,1,3.0
173,173,4,1,4.0
174,174,5,1,5.0
175,175,6,1,6.0
176,176,7,1,7.0
177,177,8,1,8.0
178,178,9,1,9.0
179,179,10,1,
180,180,11,1,
181,181,12,1,
182,182,13,1,
183,183,14,1,
184,184,15,1,
185,185,16,1,
186,199,-1,1,
187,200,-1,2,
188,201,-1,3,
189,202,13,1,13.0
190,203,14,1,
191,204,15,1,
192,205,16,1,
193,206,17,1,
194,207,18,1,
195,208,19,1,
196,209,20,1,
197,210,21,1,
198,211,22,1,
199,212,23,1,
200,213,24,1,
201,214,25,1,
202,215,26,1,
203,216,27,1,
204,217,28,1,
