id,word,unicode,std_poly_LC,book,chapter,verse,word_index
1,*KAI\,Καὶ,καί,JOH,7,53,1
2,A)PH=LQEN,ἀπῆλθεν,ἀπῆλθεν,JOH,7,53,2
3,E(/KASTOS,ἕκαστος,ἕκαστος,JOH,7,53,3
4,EI)S,εἰς,εἰς,JOH,7,53,4
5,TO\N,τὸν,τόν,JOH,7,53,5
6,OI)=KON,οἶκον,οἶκον,JOH,7,53,6
7,AU)TOU=,αὐτοῦ,αὐτοῦ,JOH,7,53,7
8,KAI\,καὶ,καί,JOH,8,1,1
9,O(,ὁ,ὁ,JOH,8,1,2
10,*)IHSOU=S,Ἰησοῦς,ἰησοῦς,JOH,8,1,3
11,E)POREU/QH,ἐπορεύθη,ἐπορεύθη,JOH,8,1,4
12,EI)S,εἰς,εἰς,JOH,8,1,5
13,TO\,τὸ,τό,JOH,8,1,6
14,O)/ROS,ὄρος,ὄρος,JOH,8,1,7
15,TW=N,τῶν,τῶν,JOH,8,1,8
16,*)ELAIW=N,Ἐλαιῶν,ἐλαιῶν,JOH,8,1,9
17,*)/ORQROU,Ὄρθρου,ὄρθρου,JOH,8,2,1
18,DE\,δὲ,δέ,JOH,8,2,2
19,PA/LIN,πάλιν,πάλιν,JOH,8,2,3
20,H)=LQEN,ἦλθεν,ἦλθεν,JOH,8,2,4
21,O(,ὁ,ὁ,JOH,8,2,5
22,*)IHSOU=S,Ἰησοῦς,ἰησοῦς,JOH,8,2,6
23,EI)S,εἰς,εἰς,JOH,8,2,7
24,TO\,τὸ,τό,JOH,8,2,8
25,I(ERO/N,ἱερόν,ἱερόν,JOH,8,2,9
26,KAI\,καὶ,καί,JOH,8,2,10
27,PA=S,πᾶς,πᾶς,JOH,8,2,11
28,O(,ὁ,ὁ,JOH,8,2,12
29,LAO\S,λαὸς,λαός,JOH,8,2,13
30,H)/RXETO,ἤρχετο,ἤρχετο,JOH,8,2,14
31,PRO\S,πρὸς,πρός,JOH,8,2,15
32,AU)TO/N,αὐτόν,αὐτόν,JOH,8,2,16
33,KAI\,καὶ,καί,JOH,8,2,17
34,KAQI/SAS,καθίσας,καθίσας,JOH,8,2,18
35,E)DI/DASKEN,ἐδίδασκεν,ἐδίδασκεν,JOH,8,2,19
36,AU)TOU/S,αὐτούς,αὐτούς,JOH,8,2,20
37,*)/AGOUSIN,Ἄγουσιν,ἄγουσιν,JOH,8,3,1
38,DE\,δὲ,δέ,JOH,8,3,2
39,OI(,οἱ,οἱ,JOH,8,3,3
40,GRAMMATEI=S,γραμματεῖς,γραμματεῖς,JOH,8,3,4
41,KAI\,καὶ,καί,JOH,8,3,5
42,OI(,οἱ,οἱ,JOH,8,3,6
43,*FARISAI=OI,Φαρισαῖοι,φαρισαῖοι,JOH,8,3,7
