pos,abbreviation,num possible traits,trait 1,trait 2,trait 3,trait 4,trait 5,trait 6,trait 7
Adjective,A,5.0,case,number,gender,type,extra,,
Adverb,ADV,1.0,type,,,,,,
Aramaism,ARAM,0.0,,,,,,,
Article,T,3.0,case,number,gender,,,,
Conditional particle or conjunction,COND,1.0,kai-incrasis,,,,,,
Conjunction,CONJ,1.0,type,,,,,,
Correlative Pronoun,Q,3.0,case,number,gender,,,,
Demonstrative Pronoun,D,4.0,case,number,gender,kai-incrasis,,,
Hebraism,HEB,0.0,,,,,,,
Indefinite Pronoun,X,3.0,case,number,gender,,,,
Interrogative Pronoun,I,3.0,case,number,gender,,,,
Noun,N,2.0,description,indeclinable,,,,,
Noun,N,4.0,case,number,gender,type,,,
Particle,PRT,1.0,type,,,,,,
Personal Pronoun,P,3.0,case,number,gender,,,,
Personal Pronoun,P,4.0,person,case,gender,kai-incrasis,,,
Possessive Pronoun,S,5.0,person,number,case,number,gender,,
Preposition,PREP,,,,,,,,
Reciprocal Pronoun,C,3.0,case,number,gender,,,,
Reflexive Pronoun,F,3.0,case,number,gender,,,,
Reflexive Pronoun,F,3.0,person,case,gender,,,,
Relative Pronoun,R,4.0,person,case,gender,,,,
Verb,V,6.0,tense,voice,mood,person,number,extra,
Verb,V,7.0,tense,voice,mood,case,number,gender,extra
