pos,code,book,chapter,verse,word_index
Adjective,A-ASN-N,MAT,5,13,47
Adjective,A-NSM-N,MAT,6,24,2
Adjective,A-DSM-N,MAT,8,4,20
Adjective,A-NSM-N,MAT,9,16,2
Adjective,A-NSM-N,MAT,9,30,38
Adjective,A-NSN-N,MAT,10,26,14
Adjective,A-NSM-N,MAT,11,27,26
Adjective,A-DSM-N,MAT,16,20,20
Adjective,A-ASM-N,MAT,17,8,17
Adjective,A-DSM-N,MAT,17,9,35
Adjective,A-NSN-N,MAT,17,20,89
Adjective,A-NSM-N,MAT,19,17,26
Adjective,A-NSM-N,MAT,20,7,11
Adjective,A-ASN-N,MAT,21,19,35
Adjective,A-GSM-N,MAT,22,16,86
Adjective,A-NSM-N,MAT,22,46,5
Adjective,A-NSN-N,MAT,23,16,38
Adjective,A-NSN-N,MAT,23,18,23
Adjective,A-NSM-N,MAT,24,36,23
Adjective,A-ASN-N,MAT,26,62,20
Adjective,A-ASN-N,MAT,27,12,35
Adjective,A-NSN-N,MAT,27,19,41
Adjective,A-ASN-N,MAT,27,24,17
Adjective,A-DSM-N,MAR,1,44,14
Adjective,A-ASN-N,MAR,1,44,17
Adjective,A-NSM-N,MAR,2,21,5
Adjective,A-NSM-N,MAR,2,22,5
Adjective,A-NSM-N,MAR,3,27,2
Adjective,A-NSM-N,MAR,5,3,32
Adjective,A-NSM-N,MAR,5,4,59
Adjective,A-ASN-N,MAR,5,26,41
Adjective,A-ASM-N,MAR,5,37,11
Adjective,A-NSM-N,MAR,5,43,17
Adjective,A-ASF-N,MAR,6,5,14
Adjective,A-ASN-N,MAR,6,8,14
Adjective,A-ASN-N,MAR,7,12,14
Adjective,A-NSN-N,MAR,7,15,2
Adjective,A-ASM-N,MAR,7,24,44
Adjective,A-DSM-N,MAR,7,36,14
Adjective,A-DSM-N,MAR,8,30,14
Adjective,A-ASM-N,MAR,9,8,14
Adjective,A-DSM-N,MAR,9,9,29
Adjective,A-DSN-N,MAR,9,29,23
Adjective,A-NSM-N,MAR,9,39,23
Adjective,A-NSM-N,MAR,10,18,29
Adjective,A-NSM-N,MAR,10,29,23
Adjective,A-NSM-N,MAR,11,2,62
Adjective,A-ASN-N,MAR,11,13,53
Adjective,A-NSM-N,MAR,11,14,38
Adjective,A-GSM-N,MAR,12,14,47
Adjective,A-NSM-N,MAR,12,34,59
Adjective,A-NSM-N,MAR,13,32,23
Adjective,A-ASN-N,MAR,14,60,38
Adjective,A-ASN-N,MAR,14,61,14
Adjective,A-ASN-N,MAR,15,4,29
Adjective,A-ASN-N,MAR,15,5,14
Adjective,A-DSM-N,MAR,16,8,41
Adjective,A-ASN-N,MAR,16,8,44
Adjective,A-NSM-N,LUK,1,61,17
Adjective,A-ASN-N,LUK,3,13,17
Adjective,A-ASM-N,LUK,3,14,44
Adjective,A-ASN-N,LUK,4,2,29
Adjective,A-NSM-N,LUK,4,24,20
Adjective,A-ASF-N,LUK,4,26,8
Adjective,A-NSM-N,LUK,4,27,38
Adjective,A-ASN-N,LUK,4,35,65
Adjective,A-ASN-N,LUK,5,5,38
Adjective,A-DSM-N,LUK,5,14,14
Adjective,A-NSM-N,LUK,5,36,23
Adjective,A-NSM-N,LUK,5,37,5
Adjective,A-NSM-N,LUK,5,39,5
Adjective,A-ASN-N,LUK,6,35,29
Adjective,A-NSM-N,LUK,7,28,35
Adjective,A-NSM-N,LUK,8,16,2
Adjective,A-GSM-N,LUK,8,43,56
Adjective,A-ASM-N,LUK,8,51,26
Adjective,A-DSM-N,LUK,8,56,29
Adjective,A-ASN-N,LUK,9,3,14
Adjective,A-DSM-N,LUK,9,21,17
Adjective,A-DSM-N,LUK,9,36,44
Adjective,A-ASN-N,LUK,9,36,62
Adjective,A-NSM-N,LUK,9,62,20
Adjective,A-ASM-N,LUK,10,4,26
Adjective,A-ASN-N,LUK,10,19,59
Adjective,A-NSM-N,LUK,10,22,44
Adjective,A-NSM-N,LUK,11,33,2
Adjective,A-NSN-N,LUK,12,2,2
Adjective,A-NSM-N,LUK,14,24,14
Adjective,A-NSM-N,LUK,15,16,44
Adjective,A-NSM-N,LUK,16,13,2
Adjective,A-NSM-N,LUK,18,19,29
Adjective,A-NSM-N,LUK,18,29,26
Adjective,A-ASN-N,LUK,18,34,8
Adjective,A-NSM-N,LUK,19,30,44
Adjective,A-ASN-N,LUK,20,40,17
Adjective,A-GSN-N,LUK,22,35,56
Adjective,A-ASN-N,LUK,23,4,32
Adjective,A-ASN-N,LUK,23,9,26
Adjective,A-ASN-N,LUK,23,14,56
Adjective,A-NSN-N,LUK,23,15,32
Adjective,A-ASN-N,LUK,23,22,35
Adjective,A-ASN-N,LUK,23,41,35
Adjective,A-NSM-N,LUK,23,53,50
