pos,code,info_length
Adjective,A-NPF,3
Adjective,A-GSN,3
Adjective,A-NSM,3
Adjective,A-NSN,3
Adjective,A-GPM,3
Adjective,A-NSF,3
Adjective,A-APM,3
Adjective,A-ASF,3
Adjective,A-GSF,3
Adjective,A-DPN,3
Adjective,A-GSM,3
Adjective,A-DSF,3
Adjective,A-APF,3
Adjective,A-ASM,3
Adjective,A-DSN,3
Adjective,A-NUI,3
Adjective,A-DSM,3
Adjective,A-ASN,3
Adjective,A-APN,3
Adjective,A-DPF,3
Adjective,A-NPM,3
Adjective,A-DPM,3
Adjective,A-NPN,3
Adjective,A-VSM,3
Adjective,A-VPM,3
Adjective,A-GPN,3
Adjective,A-VSF,3
Adjective,A-GPF,3
Adjective,A-ASM-S,4
Adjective,A-NSF-S,4
Adjective,A-NSM-C,4
Adjective,A-ASN-N,4
Adjective,A-GPF-S,4
Adjective,A-NSM-S,4
Adjective,A-ASN-C,4
Adjective,A-NSM-N,4
Adjective,A-NSN-C,4
Adjective,A-DSM-N,4
Adjective,A-NSN-N,4
Adjective,A-NPF-S,4
Adjective,A-APN-C,4
Adjective,A-NPN-S,4
Adjective,A-GPN-S,4
Adjective,A-GPM-C,4
Adjective,A-ASM-N,4
Adjective,A-NPM-S,4
Adjective,A-GPM-S,4
Adjective,A-DSM-S,4
Adjective,A-DPN-S,4
Adjective,A-NPM-C,4
Adjective,A-DSN-S,4
Adjective,A-APM-C,4
Adjective,A-GSM-N,4
Adjective,A-ASM-C,4
Adjective,A-DSF-S,4
Adjective,A-APF-C,4
Adjective,A-DPM-C,4
Adjective,A-NSF-C,4
Adjective,A-GSF-S,4
Adjective,A-GSM-S,4
Adjective,A-ASF-N,4
Adjective,A-DPM-S,4
Adjective,A-DSN-N,4
Adjective,A-VSM-S,4
Adjective,A-GPN-C,4
Adjective,A-ASN-S,4
Adjective,A-ASF-S,4
Adjective,A-GSN-N,4
Adjective,A-ASF-C,4
Adjective,A-DPF-S,4
Adjective,A-VPM-C,4
Adjective,A-GSN-S,4
Adjective,A-APM-S,4
Adjective,A-NPF-C,4
Adjective,A-NSF-N,4
Adjective,A-NPN-C,4
Adjective,A-DSF-C,4
Adjective,A-DSM-C,4
Adjective,A-GSM-C,4
Adjective,A-GSF-C,4
Adjective,A-DPF-C,4
Adjective,A-APN-S,4
Adjective,A-DSN-C,4
Adjective,A-NSN-S,4
