code,pos,info_length,book,chapter,verse,word_index
K-APN,Correlative or Interrogative Pronoun,3,MAT,7,12,8
K-ASM,Correlative or Interrogative Pronoun,3,MAT,9,15,41
K-APN,Correlative or Interrogative Pronoun,3,MAT,13,44,74
K-APN,Correlative or Interrogative Pronoun,3,MAT,13,46,26
K-NPM,Correlative or Interrogative Pronoun,3,MAT,14,36,38
K-APN,Correlative or Interrogative Pronoun,3,MAT,17,12,47
K-APN,Correlative or Interrogative Pronoun,3,MAT,18,18,11
K-APN,Correlative or Interrogative Pronoun,3,MAT,18,18,47
K-APN,Correlative or Interrogative Pronoun,3,MAT,18,25,62
K-APN,Correlative or Interrogative Pronoun,3,MAT,21,22,8
K-APM,Correlative or Interrogative Pronoun,3,MAT,22,9,26
K-APM,Correlative or Interrogative Pronoun,3,MAT,22,10,32
K-APN,Correlative or Interrogative Pronoun,3,MAT,23,3,8
K-ASN,Correlative or Interrogative Pronoun,3,MAT,25,40,32
K-ASN,Correlative or Interrogative Pronoun,3,MAT,25,45,26
K-APN,Correlative or Interrogative Pronoun,3,MAT,28,20,14
K-ASM,Correlative or Interrogative Pronoun,3,MAR,2,19,59
K-APN,Correlative or Interrogative Pronoun,3,MAR,3,8,62
K-NPM,Correlative or Interrogative Pronoun,3,MAR,3,10,29
K-APF,Correlative or Interrogative Pronoun,3,MAR,3,28,44
K-APN,Correlative or Interrogative Pronoun,3,MAR,5,19,62
K-APN,Correlative or Interrogative Pronoun,3,MAR,5,20,26
K-NPM,Correlative or Interrogative Pronoun,3,MAR,6,11,5
K-APN,Correlative or Interrogative Pronoun,3,MAR,6,30,38
K-APN,Correlative or Interrogative Pronoun,3,MAR,6,30,47
K-NPM,Correlative or Interrogative Pronoun,3,MAR,6,56,86
K-ASN,Correlative or Interrogative Pronoun,3,MAR,7,36,20
K-APN,Correlative or Interrogative Pronoun,3,MAR,9,13,32
K-APN,Correlative or Interrogative Pronoun,3,MAR,10,21,44
K-APN,Correlative or Interrogative Pronoun,3,MAR,11,24,17
K-APN,Correlative or Interrogative Pronoun,3,MAR,12,44,44
K-APN,Correlative or Interrogative Pronoun,3,LUK,4,23,41
K-NPM,Correlative or Interrogative Pronoun,3,LUK,4,40,17
K-APN,Correlative or Interrogative Pronoun,3,LUK,8,39,23
K-APN,Correlative or Interrogative Pronoun,3,LUK,8,39,59
K-NPM,Correlative or Interrogative Pronoun,3,LUK,9,5,5
K-APN,Correlative or Interrogative Pronoun,3,LUK,9,10,20
K-GSN,Correlative or Interrogative Pronoun,3,LUK,9,55,26
K-ASN,Correlative or Interrogative Pronoun,3,LUK,11,8,65
K-APN,Correlative or Interrogative Pronoun,3,LUK,12,3,8
K-APN,Correlative or Interrogative Pronoun,3,LUK,18,12,20
K-APN,Correlative or Interrogative Pronoun,3,LUK,18,22,38
K-NPM,Correlative or Interrogative Pronoun,3,JOH,1,12,2
K-APN,Correlative or Interrogative Pronoun,3,JOH,4,29,23
K-APN,Correlative or Interrogative Pronoun,3,JOH,4,39,65
K-ASN,Correlative or Interrogative Pronoun,3,JOH,6,11,65
K-NPM,Correlative or Interrogative Pronoun,3,JOH,10,8,5
K-APN,Correlative or Interrogative Pronoun,3,JOH,10,41,47
K-APN,Correlative or Interrogative Pronoun,3,JOH,11,22,17
K-APN,Correlative or Interrogative Pronoun,3,JOH,15,14,20
K-APN,Correlative or Interrogative Pronoun,3,JOH,16,13,62
K-APN,Correlative or Interrogative Pronoun,3,JOH,16,15,5
K-APN,Correlative or Interrogative Pronoun,3,JOH,16,23,44
K-APN,Correlative or Interrogative Pronoun,3,JOH,17,7,14
K-APN,Correlative or Interrogative Pronoun,3,JOH,21,25,17
K-APM,Correlative or Interrogative Pronoun,3,ACT,2,39,44
K-APN,Correlative or Interrogative Pronoun,3,ACT,3,22,77
K-NPM,Correlative or Interrogative Pronoun,3,ACT,3,24,32
K-NPM,Correlative or Interrogative Pronoun,3,ACT,4,6,35
K-APN,Correlative or Interrogative Pronoun,3,ACT,4,23,26
K-APN,Correlative or Interrogative Pronoun,3,ACT,4,28,5
K-NPM,Correlative or Interrogative Pronoun,3,ACT,4,34,23
K-NPM,Correlative or Interrogative Pronoun,3,ACT,5,36,65
K-NPM,Correlative or Interrogative Pronoun,3,ACT,5,37,65
K-APN,Correlative or Interrogative Pronoun,3,ACT,9,13,35
K-APN,Correlative or Interrogative Pronoun,3,ACT,9,16,14
K-APN,Correlative or Interrogative Pronoun,3,ACT,9,39,71
K-NPM,Correlative or Interrogative Pronoun,3,ACT,10,45,20
K-NPM,Correlative or Interrogative Pronoun,3,ACT,13,48,41
K-APN,Correlative or Interrogative Pronoun,3,ACT,14,27,23
K-APN,Correlative or Interrogative Pronoun,3,ACT,15,4,50
K-APN,Correlative or Interrogative Pronoun,3,ACT,15,12,35
K-NPM,Correlative or Interrogative Pronoun,3,ROM,2,12,2
K-NPM,Correlative or Interrogative Pronoun,3,ROM,2,12,26
K-APN,Correlative or Interrogative Pronoun,3,ROM,3,19,11
K-NPM,Correlative or Interrogative Pronoun,3,ROM,6,3,11
K-ASM,Correlative or Interrogative Pronoun,3,ROM,7,1,44
K-NPM,Correlative or Interrogative Pronoun,3,ROM,8,14,2
K-NSN,Correlative or Interrogative Pronoun,3,ROM,9,6,5
K-ASN,Correlative or Interrogative Pronoun,3,ROM,11,13,20
K-NPN,Correlative or Interrogative Pronoun,3,ROM,15,4,2
K-ASM,Correlative or Interrogative Pronoun,3,1CO,7,39,14
K-NSM,Correlative or Interrogative Pronoun,3,1CO,15,48,2
K-NSM,Correlative or Interrogative Pronoun,3,1CO,15,48,26
K-NPF,Correlative or Interrogative Pronoun,3,2CO,1,20,2
K-NPM,Correlative or Interrogative Pronoun,3,2CO,10,11,17
K-APM,Correlative or Interrogative Pronoun,3,2CO,12,20,17
K-ASM,Correlative or Interrogative Pronoun,3,2CO,12,20,38
K-NPM,Correlative or Interrogative Pronoun,3,GAL,3,10,2
K-NPM,Correlative or Interrogative Pronoun,3,GAL,3,27,2
K-ASM,Correlative or Interrogative Pronoun,3,GAL,4,1,11
K-NPM,Correlative or Interrogative Pronoun,3,GAL,6,12,2
K-NPM,Correlative or Interrogative Pronoun,3,GAL,6,16,5
K-ASM,Correlative or Interrogative Pronoun,3,PHP,1,30,14
K-NPM,Correlative or Interrogative Pronoun,3,PHP,3,15,2
K-NPN,Correlative or Interrogative Pronoun,3,PHP,4,8,11
K-NPN,Correlative or Interrogative Pronoun,3,PHP,4,8,20
K-NPN,Correlative or Interrogative Pronoun,3,PHP,4,8,26
K-NPN,Correlative or Interrogative Pronoun,3,PHP,4,8,32
K-NPN,Correlative or Interrogative Pronoun,3,PHP,4,8,38
K-NPN,Correlative or Interrogative Pronoun,3,PHP,4,8,44
K-NPM,Correlative or Interrogative Pronoun,3,COL,2,1,44
K-NPM,Correlative or Interrogative Pronoun,3,1TH,1,5,77
K-NPM,Correlative or Interrogative Pronoun,3,1TI,6,1,2
K-APN,Correlative or Interrogative Pronoun,3,2TI,1,18,41
K-APM,Correlative or Interrogative Pronoun,3,2TI,3,11,41
K-DSN,Correlative or Interrogative Pronoun,3,HEB,1,4,17
K-NPM,Correlative or Interrogative Pronoun,3,HEB,2,15,11
K-ASN,Correlative or Interrogative Pronoun,3,HEB,3,3,26
K-ASN,Correlative or Interrogative Pronoun,3,HEB,7,20,8
K-DSN,Correlative or Interrogative Pronoun,3,HEB,8,6,17
K-ASN,Correlative or Interrogative Pronoun,3,HEB,9,27,8
K-DSN,Correlative or Interrogative Pronoun,3,HEB,10,25,41
K-ASM,Correlative or Interrogative Pronoun,3,HEB,10,37,11
K-ASM,Correlative or Interrogative Pronoun,3,HEB,10,37,14
K-ASM,Correlative or Interrogative Pronoun,3,2PE,1,13,14
K-APN,Correlative or Interrogative Pronoun,3,JUD,1,10,8
K-APN,Correlative or Interrogative Pronoun,3,JUD,1,10,23
K-APN,Correlative or Interrogative Pronoun,3,REV,1,2,35
K-NPM,Correlative or Interrogative Pronoun,3,REV,2,24,26
K-APM,Correlative or Interrogative Pronoun,3,REV,3,19,5
K-NPM,Correlative or Interrogative Pronoun,3,REV,13,15,56
K-NSM,Correlative or Interrogative Pronoun,3,REV,16,18,32
K-APN,Correlative or Interrogative Pronoun,3,REV,18,7,2
K-NPM,Correlative or Interrogative Pronoun,3,REV,18,17,59
K-NSN,Correlative or Interrogative Pronoun,3,REV,21,16,29
