id,sbl_id,word_order
1,90154,1
2,90155,2
3,90156,3
4,90157,5
5,90158,6
6,90159,7
7,90160,8
8,90161,9
9,90162,10
10,90163,11
11,90164,12
12,90165,13
13,90166,1
14,90167,2
15,90168,3
16,90169,4
17,90170,9
18,90171,10
19,90172,11
20,90173,12
21,90174,17
22,90175,18
23,90176,19
24,90177,20
25,90178,21
26,90179,22
27,90180,23
28,90181,24
29,90182,25
30,90183,26
31,90184,27
32,90185,28
33,90186,29
34,90187,30
35,90188,31
36,90189,32
37,90190,33
38,90191,34
39,90192,35
40,90193,36
41,90194,37
42,90195,39
43,90196,40
44,90197,1
45,90198,2
46,90199,3
47,90200,4
48,90201,5
49,90202,6
50,90203,7
51,90204,8
52,90205,9
53,90206,10
54,90207,11
55,90208,12
56,90209,1
57,90210,2
58,90211,3
59,90212,4
60,90213,5
61,90214,6
62,90215,7
63,90216,8
64,90217,9
65,90218,10
66,90219,11
67,90220,12
68,90221,13
69,90222,14
70,90223,15
71,90224,16
72,90225,17
73,90226,18
74,90227,1
75,90228,2
76,90229,3
77,90230,4
78,90231,5
79,90232,6
80,90233,7
81,90234,8
82,90235,9
83,90236,10
84,90237,11
85,90238,12
86,90239,1
87,90240,2
88,90241,3
89,90242,4
90,90243,5
91,90244,6
92,90245,7
93,90246,8
94,90247,1
95,90248,2
96,90249,3
97,90250,4
98,90251,5
99,90252,6
100,90253,7
101,90254,8
102,90255,9
103,90256,10
104,90257,11
105,90258,12
106,90259,13
107,90260,14
108,90261,15
109,90262,1
110,90263,2
111,90264,3
112,90265,4
113,90266,5
114,90267,6
115,90268,7
116,90269,8
117,90270,9
118,90271,10
119,90272,11
120,90273,12
121,90274,13
122,90275,14
123,90276,15
124,90277,1
125,90278,2
126,90279,3
127,90280,4
128,90281,5
129,90282,6
130,90283,7
131,90284,8
132,90285,9
133,90286,10
134,90287,11
135,90288,12
136,90289,13
137,90290,14
138,90291,15
139,90292,16
140,90293,1
141,90294,2
142,90295,3
143,90296,4
144,90297,5
145,90298,6
146,90299,7
147,90300,8
148,90301,9
149,90302,10
