id,parsed_id,word,simplified_word,unicode,count
1,1,*BI/BLOS,biblos,Βίβλος,1
2,2,GENE/SEWS,genesews,γενέσεως,3
3,3,*)IHSOU=,ihsou,Ἰησοῦ,339
4,4,XRISTOU=,xristou,χριστοῦ,264
5,5,UI(OU=,uiou,υἱοῦ,36
6,6,*DAUI/D,dauid,Δαυίδ,33
8,8,*)ABRAA/M,abraam,Ἀβραάμ,32
9,8,*)ABRAA\M,abraam,Ἀβραὰμ,41
10,10,E)GE/NNHSEN,egennhsen,ἐγέννησεν,42
11,11,TO\N,ton,τὸν,1583
12,12,*)ISAA/K,isaak,Ἰσαάκ,6
13,12,*)ISAA\K,isaak,Ἰσαὰκ,14
14,14,DE\,de,δὲ,2646
17,17,*)IAKW/B,iakwb,Ἰακώβ,15
18,17,*)IAKW\B,iakwb,Ἰακὼβ,12
22,22,*)IOU/DAN,ioudan,Ἰούδαν,8
23,23,KAI\,kai,καὶ,7482
24,24,TOU\S,tous,τοὺς,728
25,25,A)DELFOU\S,adelfous,ἀδελφοὺς,14
26,26,AU)TOU=,autou,αὐτοῦ,1477
27,27,*)IOU/DAS,ioudas,Ἰούδας,21
31,31,*FARE\S,fares,Φαρὲς,2
34,34,*ZARA\,zara,Ζαρὰ,1
35,35,E)K,ek,ἐκ,651
36,36,TH=S,ths,τῆς,1325
37,37,*QA/MAR,qamar,Θάμαρ,1
42,42,*(ESRW/M,esrwm,Ἑσρώμ,2
43,42,*(ESRW\M,esrwm,Ἑσρὼμ,1
47,47,*)ARA/M,aram,Ἀράμ,2
48,47,*)ARA\M,aram,Ἀρὰμ,1
52,52,*)AMINADA/B,aminadab,Ἀμιναδάβ,2
53,52,*)AMINADA\B,aminadab,Ἀμιναδὰβ,1
57,57,*NAASSW/N,naasswn,Ναασσών,2
58,57,*NAASSW\N,naasswn,Ναασσὼν,1
62,62,*SALMW/N,salmwn,Σαλμών,2
63,62,*SALMW\N,salmwn,Σαλμὼν,1
67,67,*BOO\Z,booz,Βοὸζ,2
70,70,*(RAXA/B,raxab,Ῥαχάβ,1
75,75,*)WBH\D,wbhd,Ὠβὴδ,2
78,78,*(ROU/Q,rouq,Ῥούθ,1
83,83,*)IESSAI/,iessai,Ἰεσσαί,4
84,83,*)IESSAI\,iessai,Ἰεσσαὶ,1
88,6,*DAUI\D,dauid,Δαυὶδ,26
90,90,BASILE/A,basilea,βασιλέα,15
93,93,O(,o,ὁ,2561
94,94,BASILEU\S,basileus,βασιλεὺς,43
97,97,*SOLOMW=NA,solomwna,Σολομῶνα,1
100,100,TOU=,tou,τοῦ,2575
101,101,*OU)RI/OU,ouriou,Οὐρίου,1
102,102,*SOLOMW\N,solomwn,Σολομὼν,3
106,106,*(ROBOA/M,roboam,Ῥοβοάμ,1
107,106,*(ROBOA\M,roboam,Ῥοβοὰμ,1
111,111,*)ABIA/,abia,Ἀβιά,2
112,111,*)ABIA\,abia,Ἀβιὰ,1
116,116,*)ASA/,asa,Ἀσά,1
117,116,*)ASA\,asa,Ἀσὰ,1
121,121,*)IWSAFA/T,iwsafat,Ἰωσαφάτ,1
122,121,*)IWSAFA\T,iwsafat,Ἰωσαφὰτ,1
126,126,*)IWRA/M,iwram,Ἰωράμ,1
127,126,*)IWRA\M,iwram,Ἰωρὰμ,1
131,131,*)OZI/AN,ozian,Ὀζίαν,1
132,132,*)OZI/AS,ozias,Ὀζίας,1
136,136,*)IWA/QAM,iwaqam,Ἰωάθαμ,2
141,141,*)/AXAZ,axaz,Ἄχαζ,2
146,146,*(EZEKI/AN,ezekian,Ἑζεκίαν,1
147,147,*(EZEKI/AS,ezekias,Ἑζεκίας,1
151,151,*MANASSH=,manassh,Μανασσῆ,2
152,152,*MANASSH=S,manasshs,Μανασσῆς,1
156,156,*)AMW/N,amwn,Ἀμών,1
157,156,*)AMW\N,amwn,Ἀμὼν,1
161,161,*)IWSI/AN,iwsian,Ἰωσίαν,1
162,162,*)IWSI/AS,iwsias,Ἰωσίας,1
166,166,*)IEXONI/AN,iexonian,Ἰεχονίαν,1
171,171,E)PI\,epi,ἐπὶ,662
173,173,METOIKESI/AS,metoikesias,μετοικεσίας,3
174,174,*BABULW=NOS,babulwnos,Βαβυλῶνος,5
175,175,*META\,meta,Μετὰ,35
177,177,TH\N,thn,τὴν,1539
178,178,METOIKESI/AN,metoikesian,μετοικεσίαν,1
180,180,*)IEXONI/AS,iexonias,Ἰεχονίας,1
183,183,*SALAQIH/L,salaqihl,Σαλαθιήλ,2
184,183,*SALAQIH\L,salaqihl,Σαλαθιὴλ,1
188,188,*ZOROBA/BEL,zorobabel,Ζοροβάβελ,3
193,193,*)ABIOU/D,abioud,Ἀβιούδ,1
194,193,*)ABIOU\D,abioud,Ἀβιοὺδ,1
198,198,*)ELIAKEI/M,eliakeim,Ἐλιακείμ,2
199,198,*)ELIAKEI\M,eliakeim,Ἐλιακεὶμ,1
203,203,*)AZW/R,azwr,Ἀζώρ,1
204,203,*)AZW\R,azwr,Ἀζὼρ,1
208,208,*SADW/K,sadwk,Σαδώκ,1
209,208,*SADW\K,sadwk,Σαδὼκ,1
213,213,*)AXEI/M,axeim,Ἀχείμ,1
214,213,*)AXEI\M,axeim,Ἀχεὶμ,1
218,218,*)ELIOU/D,elioud,Ἐλιούδ,1
219,218,*)ELIOU\D,elioud,Ἐλιοὺδ,1
223,223,*)ELEA/ZAR,eleazar,Ἐλεάζαρ,2
228,228,*MATQA/N,matqan,Ματθάν,1
229,228,*MATQA\N,matqan,Ματθὰν,1
238,238,*)IWSH\F,iwshf,Ἰωσὴφ,18
240,240,A)/NDRA,andra,ἄνδρα,28
241,241,*MARI/AS,marias,Μαρίας,7
242,242,E)C,ec,ἐξ,230
243,243,H(=S,hs,ἧς,48
244,244,E)GENNH/QH,egennhqh,ἐγεννήθη,7
245,245,*)IHSOU=S,ihsous,Ἰησοῦς,502
247,247,LEGO/MENOS,legomenos,λεγόμενος,12
248,248,XRISTO/S,xristos,χριστός,53
249,249,*PA=SAI,pasai,Πᾶσαι,1
250,250,OU)=N,oun,οὖν,523
251,251,AI(,ai,αἱ,131
252,252,GENEAI\,geneai,γενεαὶ,4
253,253,A)PO\,apo,ἀπὸ,469
255,255,E(/WS,ews,ἕως,138
258,258,DEKATE/SSARES,dekatessares,δεκατέσσαρες,3
278,100,*TOU=,tou,Τοῦ,12
282,282,H(,h,ἡ,909
283,283,GE/NNHSIS,gennhsis,γέννησις,1
284,284,OU(/TWS,outws,οὕτως,165
285,285,H)=N,hn,ἦν,288
286,286,MNHSTEUQEI/SHS,mnhsteuqeishs,μνηστευθείσης,1
287,287,GA\R,gar,γὰρ,924
289,289,MHTRO\S,mhtros,μητρὸς,11
292,292,TW=|,tw,τῷ,1228
293,238,*)IWSH/F,iwshf,Ἰωσήφ,17
294,294,PRI\N,prin,πρὶν,11
295,282,H)\,h,ἢ,299
296,296,SUNELQEI=N,sunelqein,συνελθεῖν,3
297,297,AU)TOU/S,autous,αὐτούς,181
298,298,EU(RE/QH,eureqh,εὑρέθη,13
299,299,E)N,en,ἐν,2680
300,300,GASTRI\,gastri,γαστρὶ,7
301,301,E)/XOUSA,exousa,ἔχουσα,15
303,303,PNEU/MATOS,pneumatos,πνεύματος,88
304,304,A(GI/OU,agiou,ἁγίου,42
308,308,A)NH\R,anhr,ἀνὴρ,33
309,309,AU)TH=S,auths,αὐτῆς,169
310,310,DI/KAIOS,dikaios,δίκαιος,16
311,311,W)/N,wn,ὤν,7
313,313,MH\,mh,μὴ,832
314,314,QE/LWN,qelwn,θέλων,14
315,315,AU)TH\N,authn,αὐτὴν,63
316,316,PARADEIGMATI/SAI,paradeigmatisai,παραδειγματίσαι,1
317,317,E)BOULH/QH,eboulhqh,ἐβουλήθη,1
318,318,LA/QRA|,laqra,λάθρᾳ,4
319,319,A)POLU=SAI,apolusai,ἀπολῦσαι,10
320,315,AU)TH/N,authn,αὐτήν,75
321,321,*TAU=TA,tauta,Ταῦτα,46
324,324,E)NQUMHQE/NTOS,enqumhqentos,ἐνθυμηθέντος,1
325,325,I)DOU/,idou,ἰδού,112
326,326,A)/GGELOS,aggelos,ἄγγελος,47
327,327,KURI/OU,kuriou,κυρίου,254
328,328,KAT,kat,κατ,84
329,329,O)/NAR,onar,ὄναρ,6
330,330,E)FA/NH,efanh,ἐφάνη,5
331,331,AU)TW=|,autw,αὐτῷ,886
332,332,LE/GWN,legwn,λέγων,189
334,334,UI(O\S,uios,υἱὸς,129
337,337,FOBHQH=|S,fobhqhs,φοβηθῇς,1
338,338,PARALABEI=N,paralabein,παραλαβεῖν,1
339,339,*MARIA\M,mariam,Μαριὰμ,8
341,341,GUNAI=KA/,gunaika,γυναῖκά,3
342,342,SOU,sou,σου,439
343,343,TO\,to,τὸ,1657
346,346,AU)TH=|,auth,αὐτῇ,116
347,347,GENNHQE\N,gennhqen,γεννηθὲν,1
349,303,PNEU/MATO/S,pneumatos,πνεύματός,7
350,350,E)STIN,estin,ἐστιν,539
352,352,*TE/CETAI,tecetai,Τέξεται,1
354,354,UI(O/N,uion,υἱόν,24
356,356,KALE/SEIS,kaleseis,καλέσεις,3
358,358,O)/NOMA,onoma,ὄνομα,85
360,360,*)IHSOU=N,ihsoun,Ἰησοῦν,131
361,361,AU)TO\S,autos,αὐτὸς,137
363,363,SW/SEI,swsei,σώσει,6
365,365,LAO\N,laon,λαὸν,20
368,368,TW=N,twn,τῶν,1235
369,369,A(MARTIW=N,amartiwn,ἁμαρτιῶν,33
370,370,AU)TW=N,autwn,αὐτῶν,590
371,371,*TOU=TO,touto,Τοῦτο,53
373,373,O(/LON,olon,ὅλον,37
374,374,GE/GONEN,gegonen,γέγονεν,33
375,375,I(/NA,ina,ἵνα,659
376,376,PLHRWQH=|,plhrwqh,πληρωθῇ,20
378,378,R(HQE\N,rhqen,ῥηθὲν,13
379,379,U(PO\,upo,ὑπὸ,185
382,382,DIA\,dia,διὰ,453
384,384,PROFH/TOU,profhtou,προφήτου,29
385,385,LE/GONTOS,legontos,λέγοντος,24
386,325,*)IDOU/,idou,Ἰδού,74
388,388,PARQE/NOS,parqenos,παρθένος,3
391,391,E(/CEI,ecei,ἕξει,6
393,352,TE/CETAI,tecetai,τέξεται,1
396,396,KALE/SOUSIN,kalesousin,καλέσουσιν,1
400,400,*)EMMANOUH/L,emmanouhl,Ἐμμανουήλ,1
401,93,O(/,o,ὅ,42
403,403,MEQERMHNEUO/MENON,meqermhneuomenon,μεθερμηνευόμενον,6
404,404,*MEQ,meq,Μεθ,1
405,405,H(MW=N,hmwn,ἡμῶν,409
407,407,QEO/S,qeos,θεός,87
408,408,*DIEGERQEI\S,diegerqeis,Διεγερθεὶς,1
414,414,U(/PNOU,upnou,ὕπνου,4
415,415,E)POI/HSEN,epoihsen,ἐποίησεν,71
416,416,W(S,ws,ὡς,434
417,417,PROSE/TACEN,prosetacen,προσέταξεν,5
423,423,PARE/LABEN,parelaben,παρέλαβεν,4
425,341,GUNAI=KA,gunaika,γυναῖκα,51
428,428,OU)K,ouk,οὐκ,736
429,429,E)GI/NWSKEN,eginwsken,ἐγίνωσκεν,3
432,432,OU(=,ou,οὗ,138
433,433,E)/TEKEN,eteken,ἔτεκεν,5
435,354,UI(O\N,uion,υἱὸν,58
438,438,PRWTO/TOKON,prwtotokon,πρωτότοκον,4
440,440,E)KA/LESEN,ekalesen,ἐκάλεσεν,10
448,448,GENNHQE/NTOS,gennhqentos,γεννηθέντος,1
450,450,*BHQLEE\M,bhqleem,Βηθλεὲμ,4
452,452,*)IOUDAI/AS,ioudaias,Ἰουδαίας,26
454,454,H(ME/RAIS,hmerais,ἡμέραις,49
455,455,*(HRW/|DOU,hrwdou,Ἡρῴδου,13
457,457,BASILE/WS,basilews,βασιλέως,9
459,459,MA/GOI,magoi,μάγοι,1
461,461,A)NATOLW=N,anatolwn,ἀνατολῶν,5
462,462,PAREGE/NONTO,paregenonto,παρεγένοντο,4
463,463,EI)S,eis,εἰς,1749
464,464,*(IEROSO/LUMA,ierosoluma,Ἱεροσόλυμα,34
465,465,LE/GONTES,legontes,λέγοντες,156
466,466,*POU=,pou,Ποῦ,22
467,350,E)STI\N,estin,ἐστὶν,128
469,469,TEXQEI\S,texqeis,τεχθεὶς,1
472,472,*)IOUDAI/WN,ioudaiwn,Ἰουδαίων,72
473,473,*EI)/DOMEN,eidomen,Εἴδομεν,2
477,477,A)STE/RA,astera,ἀστέρα,4
479,479,TH=|,th,τῇ,854
480,480,A)NATOLH=|,anatolh,ἀνατολῇ,2
482,482,H)/LQOMEN,hlqomen,ἤλθομεν,10
483,483,PROSKUNH=SAI,proskunhsai,προσκυνῆσαι,3
485,485,*)AKOU/SAS,akousas,Ἀκούσας,15
487,487,*(HRW/|DHS,hrwdhs,Ἡρῴδης,26
490,490,E)TARA/XQH,etaraxqh,ἐταράχθη,3
492,492,PA=SA,pasa,πᾶσα,33
494,494,MET,met,μετ,129
497,497,SUNAGAGW\N,sunagagwn,συναγαγὼν,2
498,498,PA/NTAS,pantas,πάντας,90
500,500,A)RXIEREI=S,arxiereis,ἀρχιερεῖς,48
502,502,GRAMMATEI=S,grammateis,γραμματεῖς,44
504,504,LAOU=,laou,λαοῦ,38
505,505,E)PUNQA/NETO,epunqaneto,ἐπυνθάνετο,5
506,506,PAR,par,παρ,61
508,466,POU=,pou,ποῦ,25
510,248,XRISTO\S,xristos,χριστὸς,61
511,511,GENNA=TAI,gennatai,γεννᾶται,1
512,512,*OI(,oi,Οἱ,186
514,514,EI)=PON,eipon,εἶπον,134
516,299,*)EN,en,Ἐν,102
522,522,GE/GRAPTAI,gegraptai,γέγραπται,58
526,23,*KAI\,kai,Καὶ,1682
527,527,SU\,su,σὺ,94
528,450,*BHQLEE/M,bhqleem,Βηθλεέμ,2
529,529,GH=,gh,γῆ,23
530,530,*)IOU/DA,iouda,Ἰούδα,15
531,531,OU)DAMW=S,oudamws,οὐδαμῶς,1
532,532,E)LAXI/STH,elaxisth,ἐλαχίστη,1
533,533,EI)=,ei,εἶ,92
535,535,TOI=S,tois,τοῖς,624
536,536,H(GEMO/SIN,hgemosin,ἡγεμόσιν,2
539,342,SOU=,sou,σοῦ,55
541,541,E)CELEU/SETAI,eceleusetai,ἐξελεύσεται,3
542,542,H(GOU/MENOS,hgoumenos,ἡγούμενος,3
543,543,O(/STIS,ostis,ὅστις,19
544,544,POIMANEI=,poimanei,ποιμανεῖ,3
546,365,LAO/N,laon,λαόν,24
547,547,MOU,mou,μου,579
549,549,*)ISRAH/L,israhl,Ἰσραήλ,49
550,550,*TO/TE,tote,Τότε,97
553,553,KALE/SAS,kalesas,καλέσας,5
555,555,MA/GOUS,magous,μάγους,1
556,556,H)KRI/BWSEN,hkribwsen,ἠκρίβωσεν,2
