id,std_poly_form,std_poly_LC,str_num_1,str_num_2,str_num_3
1,βίβλος,βίβλος,976,,
2,γενέσεως,γενέσεως,1078,,
3,ἰησοῦ,ἰησοῦ,2424,,
4,χριστοῦ,χριστοῦ,5547,,
5,υἱοῦ,υἱοῦ,5207,,
6,Δαυίδ,δαυίδ,1138,,
7,Ἀβραάμ,ἀβραάμ,11,,
8,ἐγέννησεν,ἐγέννησεν,1080,,
9,τόν,τόν,3588,,
10,Ἰσαάκ,ἰσαάκ,2464,,
11,δέ,δέ,1161,,
12,Ἰακώβ,ἰακώβ,2384,,
13,ἰούδαν,ἰούδαν,2455,,
14,καί,καί,2532,,
15,τούς,τούς,3588,,
16,ἀδελφούς,ἀδελφούς,80,,
17,αὐτοῦ,αὐτοῦ,846,847.0,
18,ἰούδας,ἰούδας,2455,,
19,Φαρές,φαρές,5329,,
20,Ζαρά,ζαρά,2196,,
21,ἐκ,ἐκ,1537,,
22,τῆς,τῆς,3588,,
23,Θάμαρ,θάμαρ,2283,,
24,Ἑσρώμ,ἑσρώμ,2074,,
25,Ἀράμ,ἀράμ,689,,
26,Ἀμιναδάβ,ἀμιναδάβ,284,,
27,Ναασσών,ναασσών,3476,,
28,Σαλμών,σαλμών,4533,,
29,Βοόζ,βοόζ,1003,,
30,Ῥαχάβ,ῥαχάβ,4477,,
31,Ὠβήδ,ὠβήδ,5601,,
32,Ῥούθ,ῥούθ,4503,,
33,Ἰεσσαί,ἰεσσαί,2421,,
34,βασιλέα,βασιλέα,935,,
35,ὁ,ὁ,3588,,
36,βασιλεύς,βασιλεύς,935,,
37,σολομῶνα,σολομῶνα,4672,,
38,τοῦ,τοῦ,3588,,
39,οὐρίου,οὐρίου,3774,,
40,σολομών,σολομών,4672,,
41,Ῥοβοάμ,ῥοβοάμ,4497,,
42,Ἀβιά,ἀβιά,7,,
43,Ἀσά,ἀσά,760,,
44,Ἰωσαφάτ,ἰωσαφάτ,2498,,
45,Ἰωράμ,ἰωράμ,2496,,
46,ὀζίαν,ὀζίαν,3604,,
47,ὀζίας,ὀζίας,3604,,
48,Ἰωάθαμ,ἰωάθαμ,2488,,
49,Ἄχαζ,ἄχαζ,881,,
50,ἑζεκίαν,ἑζεκίαν,1478,,
51,ἑζεκίας,ἑζεκίας,1478,,
52,μανασσῆ,μανασσῆ,3128,,
53,μανασσῆς,μανασσῆς,3128,,
54,Ἀμών,ἀμών,300,,
55,ἰωσίαν,ἰωσίαν,2502,,
56,ἰωσίας,ἰωσίας,2502,,
57,ἰεχονίαν,ἰεχονίαν,2423,,
58,ἐπί,ἐπί,1909,,
59,μετοικεσίας,μετοικεσίας,3350,,
60,βαβυλῶνος,βαβυλῶνος,897,,
61,μετά,μετά,3326,,
62,τήν,τήν,3588,,
63,μετοικεσίαν,μετοικεσίαν,3350,,
64,ἰεχονίας,ἰεχονίας,2423,,
65,Σαλαθιήλ,σαλαθιήλ,4528,,
66,Ζοροβάβελ,ζοροβάβελ,2216,,
67,Ἀβιούδ,ἀβιούδ,10,,
68,Ἐλιακείμ,ἐλιακείμ,1662,,
69,Ἀζώρ,ἀζώρ,107,,
70,Σαδώκ,σαδώκ,4524,,
71,Ἀχείμ,ἀχείμ,885,,
72,Ἐλιούδ,ἐλιούδ,1664,,
73,Ἐλεάζαρ,ἐλεάζαρ,1648,,
74,Ματθάν,ματθάν,3157,,
75,Ἰωσήφ,ἰωσήφ,2501,,
76,ἄνδρα,ἄνδρα,435,,
77,μαρίας,μαρίας,3137,,
78,ἐξ,ἐξ,1537,,
79,ἧς,ἧς,3739,,
80,ἐγεννήθη,ἐγεννήθη,1080,,
81,ἰησοῦς,ἰησοῦς,2424,,
82,λεγόμενος,λεγόμενος,3004,,
83,χριστός,χριστός,5547,,
84,πᾶσαι,πᾶσαι,3956,,
