id,word,str_num,def,root_1,root_2,root_3
1,α,1,Alpha,,,
2,Ἀαρών,2,Aaron,אַהֲרוֹן,,
3,Ἀβαδδών,3,Abaddon,אֲבַדּוֹן,,
4,ἀβαρής,4,from being burdensome,α,βάρος,
5,Ἀββᾶ,5,Abba,אַב,,
6,Ἄβελ,6,Abel,הֶבֶל,,
7,Ἀβιά,7,Abia,אֲבִיָה אֲבִיָהוּ,,
8,Ἀβιάθαρ,8,Abiathar,אֶביָתָר,,
9,Ἀβιληνή,9,Abilene,,,
10,Ἀβιούδ,10,Abiud,אֲבִיהוּד,,
11,Ἀβραάμ,11,Abraham,אַברָהָם,,
12,ἄβυσσος,12,"deep, (bottomless) pit",α,βυθός,
13,Ἄγαβος,13,Agabus,,,
14,ἀγαθοεργέω,14,do good,ἀγαθός,ἔργον,
15,ἀγαθοποιέω,15,(when) do good (well),ἀγαθοποιός,,
16,ἀγαθοποιΐα,16,well-doing,ἀγαθοποιός,,
17,ἀγαθοποιός,17,them that do well,ἀγαθός,ποιέω,
18,ἀγαθός,18,"benefit, good(-s, things), well",,,
19,ἀγαθωσύνη,19,goodness,ἀγαθός,,
20,ἀγαλλίασις,20,"gladness, (exceeding) joy",ἀγαλλιάω,,
21,ἀγαλλιάω,21,"be (exceeding) glad, with exceeding joy, rejoice (greatly)",ἅλλομαι,,
22,ἄγαμος,22,unmarried,α,γάμος,
23,ἀγανακτέω,23,"be much (sore) displeased, have (be moved with, with) indignation",,,
24,ἀγανάκτησις,24,indignation,ἀγανακτέω,,
25,ἀγαπάω,25,(be-)love(-ed),עָגַב,,
26,ἀγάπη,26,"(feast of) charity(-ably), dear, love",ἀγαπάω,,
27,ἀγαπητός,27,"(dearly, well) beloved, dear",ἀγαπάω,,
28,Ἄγαρ,28,Hagar,הָגָר,,
29,ἀγγαρεύω,29,compel (to go),,,
30,ἀγγεῖον,30,vessel,,,
31,ἀγγελία,31,message,ἄγγελος,,
32,ἄγγελος,32,"angel, messenger",,,
33,ἄγε,33,go to,ἄγω,,
34,ἀγέλη,34,herd,ἄγω,,
35,ἀγενεαλόγητος,35,without descent,α,γενεαλογέω,
36,ἀγενής,36,base things,α,γένος,
37,ἁγιάζω,37,"hallow, be holy, sanctify",ἅγιος,,
38,ἁγιασμός,38,"holiness, sanctification",ἁγιάζω,,
39,ἅγιον,39,"holiest (of all), holy place, sanctuary",ἅγιος,,
40,ἅγιος,40,"(most) holy (one, thing), saint",,,
41,ἁγιότης,41,holiness,ἅγιος,,
42,ἁγιωσύνη,42,holiness,ἅγιος,,
43,ἀγκάλη,43,arm,,,
44,ἄγκιστρον,44,hook,,,
45,ἄγκυρα,45,anchor,,,
46,ἄγναφος,46,new,α,γναφεύς,
47,ἁγνεία,47,purity,ἁγνός,,
48,ἁγνίζω,48,purify (self),ἁγνός,,
49,ἁγνισμός,49,purification,ἁγνίζω,,
50,ἀγνοέω,50,"(be) ignorant(-ly), not know, not understand, unknown",α,νοιέω,
51,ἀγνόημα,51,error,ἀγνοέω,,
52,ἄγνοια,52,ignorance,ἀγνοέω,,
53,ἁγνός,53,"chaste, clean, pure",,,
54,ἁγνότης,54,pureness,ἁγνός,,
55,ἁγνῶς,55,sincerely,ἁγνός,,
56,ἀγνωσία,56,"ignorance, not the knowledge",α,γνῶσις,
57,ἄγνωστος,57,unknown,α,γνωστός,
